celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry_region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,elimination_week,final_place,weeks_participated,week1_judge_total,week1_judge_mean,week1_judge_count,week2_judge_total,week2_judge_mean,week2_judge_count,week3_judge_total,week3_judge_mean,week3_judge_count,week4_judge_total,week4_judge_mean,week4_judge_count,week5_judge_total,week5_judge_mean,week5_judge_count,week6_judge_total,week6_judge_mean,week6_judge_count,week7_judge_total,week7_judge_mean,week7_judge_count,week8_judge_total,week8_judge_mean,week8_judge_count,week9_judge_total,week9_judge_mean,week9_judge_count,week10_judge_total,week10_judge_mean,week10_judge_count,week11_judge_total,week11_judge_mean,week11_judge_count,avg_judge_total,max_judge_total,min_judge_total,std_judge_total,score_trend,partner_prev_seasons,partner_historical_avg_placement,is_us_contestant,age_group,industry_category
Debbie Gibson,Alan Bersten,Singer/Rapper,New York,United States,47,25,Eliminated Week 2,12,6.0,5.0,6.0,,7.0,6.5,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,17.0,5.666666666666667,3,20.5,6.833333333333333,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,18.75,20.5,17.0,2.4748737341529163,,0,6.814726840855107,1,46-55,Entertainment
Mirai Nagasu,Alan Bersten,Athlete,California,United States,25,26,Eliminated Week 3,4,7.0,8.0,8.0,,9.0,10.0,9.0,9.0,9.0,9.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,3.0,23.0,7.666666666666667,3,37.0,9.25,4,35.0,8.75,4,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,31.666666666666668,37.0,23.0,7.571877794400365,,1,12.0,1,≤25,Sports
Alexis Ren,Alan Bersten,Social Media Personality,California,United States,21,27,4th Place,4,7.0,7.5,7.5,,8.0,8.5,8.0,,9.0,8.0,9.0,,8.0,8.0,9.0,,10.0,9.0,10.0,,9.0,9.0,9.0,,9.0,9.0,9.5,,9.5,9.5,10.0,,9.5,9.5,9.5,,,,,,,,,,,4.0,9.0,22.0,7.333333333333333,3,24.5,8.166666666666666,3,26.0,8.666666666666666,3,25.0,8.333333333333334,3,29.0,9.666666666666666,3,27.0,9.0,3,27.5,9.166666666666666,3,29.0,9.666666666666666,3,28.5,9.5,3,,,0,,,0,26.5,29.0,22.0,2.358495283014151,4.166666666666664,2,8.0,1,≤25,Media
Hannah Brown,Alan Bersten,TV Personality,Alabama,United States,24,28,1st Place,1,7.0,7.0,6.0,,8.0,8.0,8.0,,7.0,7.0,7.0,,8.0,8.0,8.0,8.0,9.0,7.0,9.0,,8.0,8.0,8.0,,8.5,9.0,8.5,,10.6666,9.6666,10.6666,,9.0,8.5,9.0,9.0,9.0,9.0,9.0,,10.0,9.5,9.5,,,1.0,11.0,20.0,6.666666666666667,3,24.0,8.0,3,21.0,7.0,3,32.0,8.0,4,25.0,8.333333333333334,3,24.0,8.0,3,26.0,8.666666666666666,3,30.9998,10.333266666666667,3,35.5,8.875,4,27.0,9.0,3,29.0,9.666666666666666,3,26.77270909090909,35.5,20.0,4.740043536815784,8.833333333333332,3,6.666666666666667,1,≤25,Media
Skai Jackson,Alan Bersten,Actor/Actress,New York,United States,18,29,Eliminated Week 10,5,7.0,7.0,7.0,,5.0,5.0,5.0,,6.0,6.0,6.0,,10.0,9.0,9.0,,8.0,8.0,8.0,,6.0,6.0,6.0,,9.0,9.0,9.0,,8.6666,9.6666,8.6666,,9.6666,9.6666,9.6666,,9.5,9.5,9.5,,,,,,10.0,,10.0,21.0,7.0,3,15.0,5.0,3,18.0,6.0,3,28.0,9.333333333333334,3,24.0,8.0,3,18.0,6.0,3,27.0,9.0,3,26.9998,8.999933333333333,3,28.9998,9.6666,3,28.5,9.5,3,,,0,23.54996,28.9998,15.0,5.155595019695701,10.166533333333334,4,5.25,1,≤25,Entertainment
Amanda Kloots,Alan Bersten,TV Personality,Ohio,United States,39,30,4th Place,4,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,8.5,8.5,8.5,8.5,10.0,10.0,9.0,10.0,9.0,9.0,10.0,10.0,8.25,8.25,8.25,9.25,10.5,10.5,10.5,10.5,9.5,10.0,10.0,10.0,9.5,10.0,9.5,10.0,,,,,,4.0,10.0,28.0,7.0,4,32.0,8.0,4,24.0,8.0,3,34.0,8.5,4,39.0,9.75,4,38.0,9.5,4,34.0,8.5,4,42.0,10.5,4,39.5,9.875,4,39.0,9.75,4,,,0,34.95,42.0,24.0,5.68843856724614,12.166666666666664,5,5.2,1,36-45,Media
Jessie James Decker,Alan Bersten,Singer/Rapper,Unknown,Italy,34,31,Eliminated Week 6,10,5.0,5.0,5.0,5.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,8.0,7.0,8.0,8.0,8.875,8.875,9.375,8.875,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,6.0,,6.0,20.0,5.0,4,25.0,6.25,4,26.0,6.5,4,31.0,7.75,4,36.0,9.0,4,32.0,8.0,4,,,0,,,0,,,0,,,0,,,0,28.333333333333332,36.0,20.0,5.750362307426086,9.333333333333332,6,5.0,0,26-35,Entertainment
Jamie Lynn Spears,Alan Bersten,Actor/Actress,Mississippi,United States,32,32,Eliminated Week 2,13,5.0,5.0,5.0,,6.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,15.0,5.0,3,16.0,5.333333333333333,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,15.5,16.0,15.0,0.7071067811865476,,7,5.714285714285714,1,26-35,Entertainment
Ilona Maher,Alan Bersten,Athlete,California,United States,28,33,2nd Place,2,6.0,6.0,6.0,,7.0,7.0,7.0,,7.5,7.0,7.0,6.5,8.0,8.0,8.0,8.0,9.0,8.5,8.5,,8.0,8.0,8.0,,9.0,8.5,8.5,,9.5,9.5,9.5,,9.5,9.5,9.5,,,,,,,,,,,2.0,9.0,18.0,6.0,3,21.0,7.0,3,28.0,7.0,4,32.0,8.0,4,26.0,8.666666666666666,3,24.0,8.0,3,26.0,8.666666666666666,3,28.5,9.5,3,28.5,9.5,3,,,0,,,0,25.77777777777778,32.0,18.0,4.258162097013739,5.333333333333336,8,6.625,1,26-35,Sports
Elaine Hendrix,Alan Bersten (Rashad Jennings week 9),Actor/Actress,Georgia,United States,55,34,5th Place,5,6.0,6.0,,,7.0,7.0,7.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,8.0,7.0,7.0,8.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,9.0,9.5,10.0,9.0,9.0,9.0,9.0,9.0,9.5,9.5,9.5,,9.6666,9.6666,9.6666,,,5.0,11.0,12.0,6.0,2,21.0,7.0,3,21.0,7.0,3,24.0,8.0,3,30.0,7.5,4,36.0,9.0,4,32.0,8.0,4,37.5,9.375,4,36.0,9.0,4,28.5,9.5,3,28.9998,9.6666,3,27.909072727272726,37.5,12.0,7.8064630568639615,13.166599999999999,0,6.814726840855107,1,46-55,Entertainment
