celebrity_name,season,week,judge_total,judge_mean,judge_count,judge1_score,judge2_score,judge3_score,judge4_score,placement,elimination_week,is_elimination_week,celebrity_industry,industry_category,age,age_group,partner,partner_experience,home_country,home_state,is_us,weekly_rank,weekly_rank_pct
Debbie Gibson,25,1,17.0,5.666666666666667,3,6.0,5.0,6.0,,12,2.0,False,Singer/Rapper,Entertainment,47,46-55,Alan Bersten,0,United States,New York,1,10.0,0.7692307692307693
Debbie Gibson,25,2,20.5,6.833333333333333,3,7.0,6.5,7.0,,12,2.0,True,Singer/Rapper,Entertainment,47,46-55,Alan Bersten,0,United States,New York,1,7.0,0.5769230769230769
Mirai Nagasu,26,1,23.0,7.666666666666667,3,7.0,8.0,8.0,,4,3.0,False,Athlete,Sports,25,≤25,Alan Bersten,1,United States,California,1,3.0,0.35
Mirai Nagasu,26,2,37.0,9.25,4,9.0,10.0,9.0,9.0,4,3.0,False,Athlete,Sports,25,≤25,Alan Bersten,1,United States,California,1,1.0,0.1875
Mirai Nagasu,26,3,35.0,8.75,4,9.0,9.0,8.0,9.0,4,3.0,True,Athlete,Sports,25,≤25,Alan Bersten,1,United States,California,1,3.0,0.5833333333333334
Alexis Ren,27,1,22.0,7.333333333333333,3,7.0,7.5,7.5,,4,,False,Social Media Personality,Media,21,≤25,Alan Bersten,2,United States,California,1,3.0,0.2692307692307692
Alexis Ren,27,2,24.5,8.166666666666666,3,8.0,8.5,8.0,,4,,False,Social Media Personality,Media,21,≤25,Alan Bersten,2,United States,California,1,4.0,0.3333333333333333
Alexis Ren,27,3,26.0,8.666666666666666,3,9.0,8.0,9.0,,4,,False,Social Media Personality,Media,21,≤25,Alan Bersten,2,United States,California,1,5.0,0.5
Alexis Ren,27,4,25.0,8.333333333333334,3,8.0,8.0,9.0,,4,,False,Social Media Personality,Media,21,≤25,Alan Bersten,2,United States,California,1,4.0,0.4
Alexis Ren,27,5,29.0,9.666666666666666,3,10.0,9.0,10.0,,4,,False,Social Media Personality,Media,21,≤25,Alan Bersten,2,United States,California,1,1.0,0.16666666666666666
Alexis Ren,27,6,27.0,9.0,3,9.0,9.0,9.0,,4,,False,Social Media Personality,Media,21,≤25,Alan Bersten,2,United States,California,1,4.0,0.4444444444444444
Alexis Ren,27,7,27.5,9.166666666666666,3,9.0,9.0,9.5,,4,,False,Social Media Personality,Media,21,≤25,Alan Bersten,2,United States,California,1,4.0,0.5
Alexis Ren,27,8,29.0,9.666666666666666,3,9.5,9.5,10.0,,4,,False,Social Media Personality,Media,21,≤25,Alan Bersten,2,United States,California,1,2.0,0.4166666666666667
Alexis Ren,27,9,28.5,9.5,3,9.5,9.5,9.5,,4,,False,Social Media Personality,Media,21,≤25,Alan Bersten,2,United States,California,1,3.0,0.75
Hannah Brown,28,1,20.0,6.666666666666667,3,7.0,7.0,6.0,,1,,False,TV Personality,Media,24,≤25,Alan Bersten,3,United States,Alabama,1,2.0,0.16666666666666666
Hannah Brown,28,2,24.0,8.0,3,8.0,8.0,8.0,,1,,False,TV Personality,Media,24,≤25,Alan Bersten,3,United States,Alabama,1,1.0,0.08333333333333333
Hannah Brown,28,3,21.0,7.0,3,7.0,7.0,7.0,,1,,False,TV Personality,Media,24,≤25,Alan Bersten,3,United States,Alabama,1,5.0,0.5
Hannah Brown,28,4,32.0,8.0,4,8.0,8.0,8.0,8.0,1,,False,TV Personality,Media,24,≤25,Alan Bersten,3,United States,Alabama,1,1.0,0.25
