celebrity_name,ballroom_partner,celebrity_industry,industry_category,celebrity_homestate,celebrity_homecountry_region,celebrity_age_during_season,age_group,season,results,placement,elimination_week,final_place,weeks_participated,avg_judge_total,max_judge_total,min_judge_total,std_judge_total,score_trend,partner_prev_seasons,partner_historical_avg_placement,is_us_contestant
Debbie Gibson,Alan Bersten,Singer/Rapper,Entertainment,New York,United States,47,46-55,25,Eliminated Week 2,12,2.0,,2.0,18.75,20.5,17.0,2.4748737341529163,,0,6.814726840855107,1
Mirai Nagasu,Alan Bersten,Athlete,Sports,California,United States,25,≤25,26,Eliminated Week 3,4,3.0,,3.0,31.666666666666668,37.0,23.0,7.571877794400365,,1,12.0,1
Alexis Ren,Alan Bersten,Social Media Personality,Media,California,United States,21,≤25,27,4th Place,4,,4.0,9.0,26.5,29.0,22.0,2.358495283014151,4.166666666666664,2,8.0,1
Hannah Brown,Alan Bersten,TV Personality,Media,Alabama,United States,24,≤25,28,1st Place,1,,1.0,11.0,26.77270909090909,35.5,20.0,4.740043536815784,8.833333333333332,3,6.666666666666667,1
Skai Jackson,Alan Bersten,Actor/Actress,Entertainment,New York,United States,18,≤25,29,Eliminated Week 10,5,10.0,,10.0,23.54996,28.9998,15.0,5.155595019695701,10.166533333333334,4,5.25,1
Amanda Kloots,Alan Bersten,TV Personality,Media,Ohio,United States,39,36-45,30,4th Place,4,,4.0,10.0,34.95,42.0,24.0,5.68843856724614,12.166666666666664,5,5.2,1
Jessie James Decker,Alan Bersten,Singer/Rapper,Entertainment,Unknown,Italy,34,26-35,31,Eliminated Week 6,10,6.0,,6.0,28.333333333333332,36.0,20.0,5.750362307426086,9.333333333333332,6,5.0,0
Jamie Lynn Spears,Alan Bersten,Actor/Actress,Entertainment,Mississippi,United States,32,26-35,32,Eliminated Week 2,13,2.0,,2.0,15.5,16.0,15.0,0.7071067811865476,,7,5.714285714285714,1
Ilona Maher,Alan Bersten,Athlete,Sports,California,United States,28,26-35,33,2nd Place,2,,2.0,9.0,25.77777777777778,32.0,18.0,4.258162097013739,5.333333333333336,8,6.625,1
Elaine Hendrix,Alan Bersten (Rashad Jennings week 9),Actor/Actress,Entertainment,Georgia,United States,55,46-55,34,5th Place,5,,5.0,11.0,27.909072727272726,37.5,12.0,7.8064630568639615,13.166599999999999,0,6.814726840855107,1
