celebrity_name,season,week,judge_total,judge_mean,judge_count,judge1_score,judge2_score,judge3_score,judge4_score,placement,elimination_week,is_elimination_week,celebrity_industry,industry_category,age,age_group,partner,partner_experience,home_country,home_state,is_us,weekly_rank,weekly_rank_pct,season_weeks,vote_share_hat,total_votes_hat,votes_hat
Joey McIntyre,1,1,20.0,6.666666666666667,3,7.0,7.0,6.0,,3,,False,Singer/Rapper,Entertainment,32,26-35,Ashly DelGrosso,0,United States,Massachusetts,1,1.0,0.3333333333333333,6.0,0.3056624785590247,657821.5309489948,201071.3595993619
John O'Hurley,1,1,20.0,6.666666666666667,3,7.0,7.0,6.0,,2,,False,Actor/Actress,Entertainment,50,46-55,Charlotte Jorgensen,0,United States,Maine,1,1.0,0.3333333333333333,6.0,0.3056624785590247,657821.5309489948,201071.3595993619
Rachel Hunter,1,1,20.0,6.666666666666667,3,7.0,6.0,7.0,,4,4.0,False,Model,Model,35,26-35,Jonathan Roberts,0,New Zealand,Unknown,0,1.0,0.3333333333333333,6.0,0.3056624785590247,657821.5309489948,201071.3595993619
Evander Holyfield,1,1,18.0,6.0,3,5.0,7.0,6.0,,5,3.0,False,Athlete,Sports,42,36-45,Edyta Sliwinska,0,United States,Alabama,1,4.0,0.75,6.0,0.041366918110590664,657821.5309489948,27212.04940215045
Trista Sutter,1,1,18.0,6.0,3,6.0,6.0,6.0,,6,2.0,False,TV Personality,Media,32,26-35,Louis van Amstel,0,United States,Indiana,1,4.0,0.75,6.0,0.041366918110590664,657821.5309489948,27212.04940215045
Kelly Monaco,1,1,13.0,4.333333333333333,3,5.0,4.0,4.0,,1,,False,Actor/Actress,Entertainment,29,26-35,Alec Mazo,0,United States,Pennsylvania,1,6.0,1.0,6.0,0.0002787281017446686,657821.5309489948,183.35334660818506
Evander Holyfield,1,2,14.0,4.666666666666667,3,5.0,4.0,5.0,,5,3.0,False,Athlete,Sports,42,36-45,Edyta Sliwinska,0,United States,Alabama,1,6.0,1.0,6.0,0.41686667666666655,756494.7605913441,315357.45676345914
John O'Hurley,1,2,26.0,8.666666666666666,3,8.0,9.0,9.0,,2,,False,Actor/Actress,Entertainment,50,46-55,Charlotte Jorgensen,0,United States,Maine,1,1.0,0.1666666666666666,6.0,0.4162666166666668,756494.7605913441,314903.5145174189
Kelly Monaco,1,2,17.0,5.666666666666667,3,5.0,6.0,6.0,,1,,False,Actor/Actress,Entertainment,29,26-35,Alec Mazo,0,United States,Pennsylvania,1,5.0,0.8333333333333334,6.0,0.16686667666666655,756494.7605913441,126233.76661562313
Rachel Hunter,1,2,24.0,8.0,3,8.0,8.0,8.0,,4,4.0,False,Model,Model,35,26-35,Jonathan Roberts,0,New Zealand,Unknown,0,2.0,0.3333333333333333,6.0,1.0000000078003162e-08,756494.7605913441,0.007564947664922424
Trista Sutter,1,2,19.0,6.333333333333333,3,6.0,7.0,6.0,,6,2.0,True,TV Personality,Media,32,26-35,Louis van Amstel,0,United States,Indiana,1,4.0,0.6666666666666666,6.0,1.0000000000049026e-08,756494.7605913441,0.007564947605950528
Joey McIntyre,1,2,21.0,7.0,3,8.0,7.0,6.0,,3,,False,Singer/Rapper,Entertainment,32,26-35,Ashly DelGrosso,0,United States,Massachusetts,1,3.0,0.5,6.0,9.999999999999994e-09,756494.7605913441,0.007564947605913436
Rachel Hunter,1,3,26.0,8.666666666666666,3,8.0,9.0,9.0,,4,4.0,False,Model,Model,35,26-35,Jonathan Roberts,0,New Zealand,Unknown,0,1.0,0.2,6.0,0.8617783905937556,855167.9902336933,736965.2943108887
John O'Hurley,1,3,24.0,8.0,3,9.0,8.0,7.0,,2,,False,Actor/Actress,Entertainment,50,46-55,Charlotte Jorgensen,0,United States,Maine,1,2.0,0.4,6.0,0.11662902257819817,855167.9902336933,99737.40684111776
Joey McIntyre,1,3,22.0,7.333333333333333,3,7.0,7.0,8.0,,3,,False,Singer/Rapper,Entertainment,32,26-35,Ashly DelGrosso,0,United States,Massachusetts,1,3.0,0.6,6.0,0.015784021804229744,855167.9902336933,13497.990204127944
Kelly Monaco,1,3,21.0,7.0,3,6.0,7.0,8.0,,1,,False,Actor/Actress,Entertainment,29,26-35,Alec Mazo,0,United States,Pennsylvania,1,4.0,0.8,6.0,0.005806617120777899,855167.9902336933,4965.633093232191
Evander Holyfield,1,3,13.0,4.333333333333333,3,5.0,4.0,4.0,,5,3.0,True,Athlete,Sports,42,36-45,Edyta Sliwinska,0,United States,Alabama,1,5.0,1.0,6.0,1.947903038559871e-06,855167.9902336933,1.6657843266553491
Kelly Monaco,1,4,26.0,8.666666666666666,3,9.0,9.0,8.0,,1,,False,Actor/Actress,Entertainment,29,26-35,Alec Mazo,0,United States,Pennsylvania,1,1.0,0.25,6.0,0.7261657125463147,953841.2198760427,692646.7890873326
Rachel Hunter,1,4,25.0,8.333333333333334,3,7.0,9.0,9.0,,4,4.0,True,Model,Model,35,26-35,Jonathan Roberts,0,New Zealand,Unknown,0,2.0,0.5,6.0,0.2671414365294005,953841.2198760427,254810.5136986418
John O'Hurley,1,4,21.0,7.0,3,7.0,8.0,6.0,,2,,False,Actor/Actress,Entertainment,50,46-55,Charlotte Jorgensen,0,United States,Maine,1,3.0,0.75,6.0,0.004892866083690201,953841.2198760427,4667.017353957177
Joey McIntyre,1,4,20.0,6.666666666666667,3,7.0,6.0,7.0,,3,,False,Singer/Rapper,Entertainment,32,26-35,Ashly DelGrosso,0,United States,Massachusetts,1,4.0,1.0,6.0,0.0017999848405946546,953841.2198760427,1716.8997361111894
John O'Hurley,1,5,27.0,9.0,3,9.0,9.0,9.0,,2,,False,Actor/Actress,Entertainment,50,46-55,Charlotte Jorgensen,0,United States,Maine,1,1.0,0.3333333333333333,6.0,0.9603321551125757,1052514.4495183919,1010763.4695931235
Kelly Monaco,1,5,23.5,7.833333333333333,3,8.5,7.5,7.5,,1,,False,Actor/Actress,Entertainment,29,26-35,Alec Mazo,0,United States,Pennsylvania,1,2.0,0.6666666666666666,6.0,0.028999518300715895,1052514.4495183919,30522.41204057652
Joey McIntyre,1,5,22.5,7.5,3,8.5,7.0,7.0,,3,,False,Singer/Rapper,Entertainment,32,26-35,Ashly DelGrosso,0,United States,Massachusetts,1,3.0,1.0,6.0,0.010668326586708379,1052514.4495183919,11228.567884691793
Kelly Monaco,1,6,27.5,9.166666666666666,3,8.5,9.5,9.5,,1,,False,Actor/Actress,Entertainment,29,26-35,Alec Mazo,0,United States,Pennsylvania,1,1.0,0.5,6.0,0.6224593312018546,1151187.679160741,716567.51285821
John O'Hurley,1,6,27.0,9.0,3,9.0,9.0,9.0,,2,,False,Actor/Actress,Entertainment,50,46-55,Charlotte Jorgensen,0,United States,Maine,1,2.0,1.0,6.0,0.37754066879814546,1151187.679160741,434620.166302531
Drew Lachey,2,1,24.0,8.0,3,8.0,8.0,8.0,,1,,False,Singer/Rapper,Entertainment,29,26-35,Cheryl Burke,0,United States,Ohio,1,1.0,0.1,8.0,0.49935380523828365,713675.9078138539,356376.7802737345
Giselle Fernandez,2,1,23.0,7.666666666666667,3,7.0,8.0,8.0,,8,3.0,False,News Anchor,Media,44,36-45,Jonathan Roberts,1,Mexico,Unknown,0,2.0,0.25,8.0,0.17492928052028356,713675.9078138539,124842.81307853769
Tatum O'Neal,2,1,23.0,7.666666666666667,3,7.0,8.0,8.0,,9,2.0,False,Actor/Actress,Entertainment,42,36-45,Nick Kosovich,0,United States,California,1,2.0,0.25,8.0,0.17492928052028356,713675.9078138539,124842.81307853769
Master P,2,1,12.0,4.0,3,4.0,4.0,4.0,,7,4.0,False,Singer/Rapper,Entertainment,35,26-35,Ashly DelGrosso,1,United States,Louisiana,1,10.0,1.0,8.0,0.08353334333333326,713675.9078138539,59615.73463614296
Stacy Keibler,2,1,22.0,7.333333333333333,3,8.0,6.0,8.0,,3,,False,Athlete,Sports,26,26-35,Tony Dovolani,0,United States,Maryland,1,4.0,0.4,8.0,0.055580167664714915,713675.9078138539,39666.22661456163
Jerry Rice,2,1,21.0,7.0,3,7.0,7.0,7.0,,2,,False,Athlete,Sports,43,36-45,Anna Trebunskaya,0,United States,Mississippi,1,5.0,0.5,8.0,0.011674082723100918,713675.9078138539,8331.511585303077
Kenny Mayne,2,1,13.0,4.333333333333333,3,4.0,5.0,4.0,,10,1.0,True,Sports Broadcaster,Media,46,46-55,Andrea Hale,0,United States,Washington,1,9.0,0.9,8.0,1.0000000042165204e-08,713675.9078138539,0.00713675910823083
George Hamilton,2,1,18.0,6.0,3,7.0,5.0,6.0,,5,6.0,False,Actor/Actress,Entertainment,66,>55,Edyta Sliwinska,1,United States,Tennessee,1,8.0,0.8,8.0,1.000000000926475e-08,713675.9078138539,0.007136759084750569
Lisa Rinna,2,1,19.0,6.333333333333333,3,5.0,7.0,7.0,,4,7.0,False,Actor/Actress,Entertainment,42,36-45,Louis van Amstel,1,United States,California,1,7.0,0.7,8.0,1.0000000006012144e-08,713675.9078138539,0.007136759082429262
Tia Carrere,2,1,20.0,6.666666666666667,3,6.0,7.0,7.0,,6,5.0,False,Actor/Actress,Entertainment,39,36-45,Maksim Chmerkoskiy,0,United States,Hawaii,1,6.0,0.6,8.0,1.0000000003410059e-08,713675.9078138539,0.007136759080572216
Stacy Keibler,2,2,29.0,9.666666666666666,3,9.0,10.0,10.0,,3,,False,Athlete,Sports,26,26-35,Tony Dovolani,0,United States,Maryland,1,1.0,0.1111111111111111,8.0,0.8385247827084639,790141.1836510526,662552.9643300073
Drew Lachey,2,2,27.0,9.0,3,9.0,9.0,9.0,,1,,False,Singer/Rapper,Entertainment,29,26-35,Cheryl Burke,0,United States,Ohio,1,2.0,0.2222222222222222,8.0,0.08435207036845925,790141.1836510526,66650.04472435128
Master P,2,2,16.0,5.333333333333333,3,6.0,5.0,5.0,,7,4.0,False,Singer/Rapper,Entertainment,35,26-35,Ashly DelGrosso,1,United States,Louisiana,1,9.0,1.0,8.0,0.07712308692307698,790141.1836510526,60938.127188223065
Lisa Rinna,2,2,20.0,6.666666666666667,3,6.0,7.0,7.0,,4,7.0,False,Actor/Actress,Entertainment,42,36-45,Louis van Amstel,1,United States,California,1,7.0,0.7777777777777778,8.0,1.0000000009874614e-08,790141.1836510526,0.007901411844312867
Jerry Rice,2,2,23.0,7.666666666666667,3,7.0,8.0,8.0,,2,,False,Athlete,Sports,43,36-45,Anna Trebunskaya,0,United States,Mississippi,1,4.0,0.4444444444444444,8.0,1.0000000005578463e-08,790141.1836510526,0.0079014118409183
Tia Carrere,2,2,22.0,7.333333333333333,3,7.0,8.0,7.0,,6,5.0,False,Actor/Actress,Entertainment,39,36-45,Maksim Chmerkoskiy,0,United States,Hawaii,1,5.0,0.6111111111111112,8.0,1.0000000004819522e-08,790141.1836510526,0.00790141184031863
George Hamilton,2,2,22.0,7.333333333333333,3,8.0,7.0,7.0,,5,6.0,False,Actor/Actress,Entertainment,66,>55,Edyta Sliwinska,1,United States,Tennessee,1,5.0,0.6111111111111112,8.0,1.0000000000049032e-08,790141.1836510526,0.00790141183654927
Giselle Fernandez,2,2,24.0,8.0,3,8.0,8.0,8.0,,8,3.0,False,News Anchor,Media,44,36-45,Jonathan Roberts,1,Mexico,Unknown,0,3.0,0.3333333333333333,8.0,1e-08,790141.1836510526,0.007901411836510526
Tatum O'Neal,2,2,17.0,5.666666666666667,3,5.0,6.0,6.0,,9,2.0,True,Actor/Actress,Entertainment,42,36-45,Nick Kosovich,0,United States,California,1,8.0,0.8888888888888888,8.0,1e-08,790141.1836510526,0.007901411836510526
Master P,2,3,14.0,4.666666666666667,3,6.0,4.0,4.0,,7,4.0,False,Singer/Rapper,Entertainment,35,26-35,Ashly DelGrosso,1,United States,Louisiana,1,8.0,1.0,8.0,0.6155846253846161,866606.4594882512,533469.6127199637
Jerry Rice,2,3,19.0,6.333333333333333,3,7.0,6.0,6.0,,2,,False,Athlete,Sports,43,36-45,Anna Trebunskaya,0,United States,Mississippi,1,7.0,0.875,8.0,0.23096924076923114,866606.4594882512,200159.43599371286
Stacy Keibler,2,3,27.0,9.0,3,9.0,9.0,9.0,,3,,False,Athlete,Sports,26,26-35,Tony Dovolani,0,United States,Maryland,1,1.0,0.1875,8.0,0.07662304692307653,866606.4594882512,66402.02740920949
Drew Lachey,2,3,27.0,9.0,3,9.0,9.0,9.0,,1,,False,Singer/Rapper,Entertainment,29,26-35,Cheryl Burke,0,United States,Ohio,1,1.0,0.1875,8.0,0.07662304692307642,866606.4594882512,66402.0274092094
George Hamilton,2,3,22.0,7.333333333333333,3,7.0,7.0,8.0,,5,6.0,False,Actor/Actress,Entertainment,66,>55,Edyta Sliwinska,1,United States,Tennessee,1,5.0,0.6875,8.0,0.00020000999999983133,866606.4594882512,173.32995796209897
Giselle Fernandez,2,3,22.0,7.333333333333333,3,7.0,8.0,7.0,,8,3.0,True,News Anchor,Media,44,36-45,Jonathan Roberts,1,Mexico,Unknown,0,5.0,0.6875,8.0,1.0000000117034447e-08,866606.4594882512,0.00866606469630532
Lisa Rinna,2,3,25.0,8.333333333333334,3,8.0,8.0,9.0,,4,7.0,False,Actor/Actress,Entertainment,42,36-45,Louis van Amstel,1,United States,California,1,4.0,0.5,8.0,1.0000000001675335e-08,866606.4594882512,0.008666064596334368
Tia Carrere,2,3,26.0,8.666666666666666,3,9.0,8.0,9.0,,6,5.0,False,Actor/Actress,Entertainment,39,36-45,Maksim Chmerkoskiy,0,United States,Hawaii,1,3.0,0.375,8.0,1e-08,866606.4594882512,0.008666064594882512
Drew Lachey,2,4,28.0,9.333333333333334,3,9.0,9.0,10.0,,1,,False,Singer/Rapper,Entertainment,29,26-35,Cheryl Burke,0,United States,Ohio,1,1.0,0.1428571428571428,8.0,0.7464440325763999,943071.73532545,703950.2691251521
Lisa Rinna,2,4,26.0,8.666666666666666,3,9.0,9.0,8.0,,4,7.0,False,Actor/Actress,Entertainment,42,36-45,Louis van Amstel,1,United States,California,1,2.0,0.3571428571428571,8.0,0.10102021456900644,943071.73532545,95269.3090565422
