season,weeks,elim_weeks,exact_all,exact_elim,bottom2_cover
1,6.0,3.0,0.6666666666666666,0.3333333333333333,0.3333333333333333
2,8.0,7.0,0.5,0.42857142857142855,0.8571428571428571
3,10.0,7.0,0.6,0.42857142857142855,0.7142857142857143
4,10.0,8.0,0.5,0.375,0.875
5,10.0,9.0,0.5,0.4444444444444444,0.6666666666666666
6,10.0,8.0,0.7,0.625,1.0
7,10.0,8.0,0.6,0.5,0.625
8,11.0,9.0,0.5454545454545454,0.4444444444444444,0.6666666666666666
9,10.0,9.0,0.5,0.4444444444444444,0.6666666666666666
10,10.0,8.0,0.8,0.75,0.875
11,10.0,9.0,0.5,0.4444444444444444,0.7777777777777778
12,10.0,8.0,0.7,0.625,0.875
13,10.0,9.0,0.6,0.5555555555555556,0.6666666666666666
14,10.0,8.0,0.5,0.375,0.875
15,10.0,7.0,0.4,0.14285714285714285,0.7142857142857143
16,10.0,8.0,0.9,0.875,1.0
17,11.0,9.0,0.45454545454545453,0.3333333333333333,0.5555555555555556
18,10.0,7.0,0.5,0.2857142857142857,0.7142857142857143
19,11.0,10.0,0.5454545454545454,0.5,0.7
20,10.0,8.0,0.4,0.25,0.5
21,11.0,7.0,0.6363636363636364,0.42857142857142855,0.5714285714285714
22,10.0,7.0,0.6,0.42857142857142855,0.7142857142857143
23,11.0,9.0,0.45454545454545453,0.3333333333333333,0.7777777777777778
24,10.0,8.0,0.6,0.5,0.625
25,10.0,8.0,0.4,0.25,0.75
26,4.0,3.0,0.5,0.3333333333333333,1.0
27,9.0,7.0,0.2222222222222222,0.0,0.5714285714285714
28,11.0,7.0,0.6363636363636364,0.42857142857142855,0.5714285714285714
29,11.0,9.0,0.36363636363636365,0.2222222222222222,0.8888888888888888
30,10.0,8.0,0.6,0.5,0.75
31,10.0,9.0,0.4,0.3333333333333333,0.8888888888888888
32,11.0,9.0,0.36363636363636365,0.2222222222222222,0.3333333333333333
33,9.0,6.0,0.5555555555555556,0.3333333333333333,0.8333333333333334
34,11.0,8.0,0.36363636363636365,0.125,0.625
