season,week,n_contestants,original_rule,true_k,true_eliminated,rank_eliminated,pct_eliminated,rank_bottom2,pct_bottom2,method_conflict,kendall_tau,rank_bias,pct_bias,rank_ndcg,pct_ndcg,rank_phi_J,rank_phi_F,pct_phi_J,pct_phi_F
1,1,6,rank,0,[],[],[],[],[],False,0.9999999999999999,0.46852871754523995,0.3895657491073493,1.0,1.0,7.505555555555556,6.616666666666667,0.000895355988255822,0.0005713965521635996
1,2,6,rank,1,['Trista Sutter'],['Evander Holyfield'],['Kelly Monaco'],"['Evander Holyfield', 'Kelly Monaco']","['Kelly Monaco', 'Trista Sutter']",True,0.7745966692414834,0.5,0.49205226876318053,0.9782989848591385,1.0,4.816666666666666,4.816666666666666,0.0017259874020566243,0.001671975214793653
1,3,5,rank,1,['Evander Holyfield'],['Evander Holyfield'],['Kelly Monaco'],"['Evander Holyfield', 'Kelly Monaco']","['Kelly Monaco', 'Joey McIntyre']",True,0.7745966692414834,0.5,0.5756390089958328,0.9993887843559727,0.9815380445109696,3.25,3.25,0.0017488828811804786,0.002372332117969395
1,4,4,rank,1,['Rachel Hunter'],['Joey McIntyre'],"[""John O'Hurley""]","['Joey McIntyre', ""John O'Hurley""]","[""John O'Hurley"", 'Joey McIntyre']",True,0.912870929175277,0.5,0.8179473820306862,1.0,0.9876709591202906,0.5833333333333334,0.5833333333333334,0.0012734482081252288,0.005721497661534702
1,5,3,rank,0,[],[],[],[],[],False,1.0,0.5,0.44830813279585596,1.0,1.0,1.6666666666666665,1.6666666666666665,0.001507108544097221,0.0012246854766029998
1,6,2,rank,0,[],[],[],[],[],False,1.0,0.5,0.46961244696256316,1.0,1.0,0.75,0.75,5.6111828536716346e-05,4.9682186076510736e-05
2,1,10,rank,1,['Kenny Mayne'],['Master P'],['Lisa Rinna'],"['Master P', 'Kenny Mayne']","['Lisa Rinna', 'Tia Carrere']",True,0.15075567228888181,0.8629032258064524,0.3585263118868087,0.5194714068885262,0.8083427399110877,-0.2266666666666648,-1.426666666666664,-0.00015567836385822748,8.701025571108717e-05
2,2,9,rank,1,"[""Tatum O'Neal""]",['Master P'],['Master P'],"['Master P', 'Lisa Rinna']","['Master P', 'Lisa Rinna']",False,0.5229763603684908,0.5045024763619991,0.7406217111139264,0.9996097105194185,0.795987251480378,6.79320987654321,6.916666666666667,0.00029988310750986904,0.0008562780684996863
2,3,8,rank,1,['Giselle Fernandez'],['Master P'],['Master P'],"['Master P', 'Lisa Rinna']","['Master P', 'Lisa Rinna']",False,0.5604485383178051,0.4860834990059642,0.661548459570494,0.9935668519918364,0.9056247593485083,4.616071428571429,4.366071428571429,0.00030680665056085287,0.0005996943219905064
2,4,7,rank,1,['Master P'],['George Hamilton'],['George Hamilton'],"['George Hamilton', 'Jerry Rice']","['George Hamilton', 'Jerry Rice']",False,0.7378647873726218,0.48247078464106846,0.8938293519011754,0.9397086679304216,1.0,4.217687074829932,3.931972789115646,0.00010132072596734636,0.0008529988320430386
2,5,6,rank,1,['Tia Carrere'],['Tia Carrere'],['Tia Carrere'],"['Tia Carrere', 'Jerry Rice']","['Tia Carrere', 'Jerry Rice']",False,0.7745966692414834,0.5,0.7376236683034105,1.0,0.7445427447259095,4.816666666666666,4.816666666666666,0.0009084993721395337,0.002554081899063378
