partner,count,judge_pred_mean,fan_pred_mean,judge_actual_mean,fan_actual_mean
Alan Bersten,62.0,26.55229949951172,126421.40625,27.15321612903226,129046.39579327135
Anna Trebunskaya,54.0,22.050451278686523,119730.453125,21.862133333333333,119671.62432015638
Artem Chigvintsev,81.0,28.46442222595215,110812.6015625,28.97530864197531,112740.12555331377
Brandon Armstrong,45.0,26.11989974975586,98700.1640625,26.122222222222224,99591.60824286757
Britt Stewart,30.0,23.565196990966797,86884.203125,24.3,89865.62533900197
Chelsie Hightower,43.0,22.772659301757812,111057.859375,22.674406976744184,111876.29822716085
Cheryl Burke,191.0,24.507957458496094,140077.28125,25.260317277486912,144113.0552007767
Daniella Karagach,44.0,26.135374069213867,128762.2734375,27.727272727272727,123713.12169358069
Derek Hough,164.0,28.5629940032959,172738.125,28.858562195121948,173858.2736356415
Edyta Sliwinska,58.0,22.640121459960938,140860.203125,21.767239655172414,136174.2058721866
Emma Slater,99.0,25.463743209838867,105596.796875,26.006729292929293,111791.75417670679
Gleb Savchenko,75.0,25.913246154785156,105993.890625,26.19333333333333,105870.8900981236
Jenna Johnson,56.0,25.84747886657715,120553.8828125,26.044639285714286,136008.56498013917
Julianne Hough,41.0,24.520156860351562,163339.859375,24.349587804878052,166219.77849778376
Karina Smirnoff,117.0,24.31902313232422,140592.46875,23.91997863247863,138705.83470605564
Keo Motsepe,35.0,23.327486038208008,98055.0234375,23.3,99900.08991005411
Kym Johnson,93.0,23.373659133911133,134627.359375,24.295689247311827,142973.81619644014
Lacey Schwimmer,41.0,22.026987075805664,137981.59375,22.117875609756098,136894.54063066308
Lindsay Arnold,79.0,26.716279983520508,134010.71875,26.476788607594933,132200.05651004458
Louis van Amstel,65.0,23.98328399658203,130528.6484375,22.99186769230769,123949.8881538112
Maksim Chmerkoskiy,121.0,25.388423919677734,144468.3125,25.953848760330583,146131.7770569054
Mark Ballas,166.0,28.19086265563965,152375.109375,28.41465180722892,157661.79658225138
Pasha Pashkov,37.0,24.33778953552246,103914.4453125,24.98648108108108,102889.80753285598
Peta Murgatroyd,101.0,25.818683624267578,115284.3359375,25.967265346534653,117386.3212954902
Sasha Farber,96.0,27.01554298400879,126014.9375,27.984370833333333,129783.50691648542
Sharna Burgess,95.0,27.189334869384766,123628.9453125,27.278943157894737,128363.23190412993
Tony Dovolani,118.0,23.016063690185547,119678.0625,23.991752542372883,123891.30419774896
Valentin Chmerkovskiy,158.0,29.634889602661133,145596.125,30.08420379746836,146946.03216884588
Witney Carson,107.0,28.00422477722168,131783.84375,29.017647663551404,136263.31717738745
Other,305.0,23.46926498413086,114583.09375,23.9032731147541,119263.75953819847
