celebrity_name,fan_share_mean,score,fan_rank,final_rank,season,method
Evander Holyfield,0.14477785075168262,-10.0,6.0,6.0,1,rank
Joey McIntyre,0.21385151114940348,-5.8,3.0,3.0,1,rank
John O'Hurley,0.281681290106578,-3.5,1.0,2.0,1,rank
Kelly Monaco,0.2773978033825541,-6.166666666666667,2.0,4.0,1,rank
Rachel Hunter,0.20898550230568744,-3.25,4.0,1.0,1,rank
Trista Sutter,0.1529961609201962,-9.0,5.0,5.0,1,rank
Drew Lachey,0.20336606400690893,-2.75,1.0,1.0,2,rank
George Hamilton,0.1305384107144833,-11.0,5.0,8.0,2,rank
Giselle Fernandez,0.11381958972205773,-8.0,7.0,3.0,2,rank
Jerry Rice,0.1573621367414007,-9.0,4.0,5.0,2,rank
Kenny Mayne,0.06278083937405526,-19.0,10.0,10.0,2,rank
Lisa Rinna,0.16170837837728694,-8.428571428571429,3.0,4.0,2,rank
Master P,0.08766466143795194,-16.5,9.0,9.0,2,rank
Stacy Keibler,0.2023069311418894,-3.375,2.0,2.0,2,rank
Tatum O'Neal,0.093730325650378,-10.5,8.0,7.0,2,rank
Tia Carrere,0.12763418527154136,-9.6,6.0,6.0,2,rank
Emmitt Smith,0.2094111338075709,-5.7,2.0,3.0,3,rank
Harry Hamlin,0.09255270583534715,-14.0,9.0,8.0,3,rank
Jerry Springer,0.1108667880312431,-14.285714285714286,6.0,9.0,3,rank
Joey Lawrence,0.17869671763255734,-5.666666666666667,3.0,2.0,3,rank
Mario Lopez,0.22304334626628072,-4.7,1.0,1.0,3,rank
Monique Coleman,0.15188705290515864,-7.125,4.0,6.0,3,rank
Sara Evans,0.10140305179924405,-13.4,8.0,7.0,3,rank
Shanna Moakler,0.08366024111949649,-14.5,10.0,10.0,3,rank
Tucker Carlson,0.06400396272764919,-22.0,11.0,11.0,3,rank
Vivica A. Fox,0.10950182542951092,-6.75,7.0,5.0,3,rank
Willa Ford,0.1244031355843099,-6.2,5.0,4.0,3,rank
Apolo Anton Ohno,0.18340555636568628,-4.5,1.0,2.0,4,rank
Billy Ray Cyrus,0.1083753295587936,-13.125,5.0,7.0,4,rank
Clyde Drexler,0.07819922034702642,-18.6,10.0,11.0,4,rank
Heather Mills,0.107509093609838,-9.166666666666666,6.0,5.0,4,rank
Ian Ziering,0.13980361605357464,-7.333333333333333,4.0,4.0,4,rank
Joey Fatone,0.17968655086251345,-3.6,2.0,1.0,4,rank
John Ratzenberger,0.09990798477392719,-14.0,7.0,8.0,4,rank
Laila Ali,0.17343149698319701,-5.3,3.0,3.0,4,rank
Leeza Gibbons,0.09212477147869771,-12.25,8.0,6.0,4,rank
Paulina Porizkova,0.07795407834906297,-14.0,11.0,8.0,4,rank
Shandi Finnessey,0.08323832583631496,-14.666666666666666,9.0,10.0,4,rank
Albert Reed,0.08204877110671296,-14.0,9.0,8.0,5,rank
Cameron Mathison,0.1245385141331774,-9.25,5.0,6.0,5,rank
Floyd Mayweather Jr.,0.08356576772392567,-16.75,8.0,10.0,5,rank
Helio Castroneves,0.17824922146248237,-5.4,2.0,3.0,5,rank
Jane Seymour,0.1113167975890805,-9.142857142857142,7.0,5.0,5,rank
Jennie Garth,0.14153732412106804,-7.666666666666667,3.0,4.0,5,rank
Josie Maran,0.04844133682201196,-24.0,12.0,12.0,5,rank
Marie Osmond,0.14017247599822583,-9.4,4.0,7.0,5,rank
Mark Cuban,0.08183496340145865,-16.4,10.0,9.0,5,rank
Mel B,0.1856294122929099,-4.4,1.0,2.0,5,rank
Sabrina Bryan,0.12342575078504649,-3.6666666666666665,6.0,1.0,5,rank
Wayne Newton,0.07119867251217048,-20.666666666666668,11.0,11.0,5,rank
Adam Carolla,0.0770493440860941,-18.25,10.0,10.0,6,rank
Cristian de la Fuente,0.15806382961209864,-8.4,3.0,4.0,6,rank
Jason Taylor,0.16783406576378682,-5.6,2.0,2.0,6,rank
Kristi Yamaguchi,0.18807937543424752,-2.5,1.0,1.0,6,rank
Mario,0.12780259585819934,-7.125,4.0,3.0,6,rank
Marissa Jaret Winokur,0.12689587647010503,-11.0,5.0,7.0,6,rank
Marlee Matlin,0.09879947202279364,-11.833333333333334,7.0,8.0,6,rank
Monica Seles,0.06273054850641084,-23.0,12.0,12.0,6,rank
Penn Jillette,0.06750749725150673,-20.5,11.0,11.0,6,rank
Priscilla Presley,0.09828243693918551,-10.6,8.0,6.0,6,rank
Shannon Elizabeth,0.11577821120359731,-9.142857142857142,6.0,5.0,6,rank
Steve Guttenberg,0.0774712245613493,-17.666666666666668,9.0,9.0,6,rank
Brooke Burke,0.1919685867102182,-2.6,1.0,1.0,7,rank
Cloris Leachman,0.08799208079541838,-16.833333333333332,9.0,9.0,7,rank
Cody Linley,0.1331460089272055,-8.666666666666666,4.0,5.0,7,rank
Jeffrey Ross,0.051564075830320154,-26.0,13.0,13.0,7,rank
Kim Kardashian,0.07410676758442473,-18.0,11.0,10.0,7,rank
Lance Bass,0.16593132991529308,-6.3,2.0,2.0,7,rank
Maurice Greene,0.12576941328329896,-10.375,5.0,7.0,7,rank
Misty May-Treanor,0.09024037334178103,-9.5,8.0,6.0,7,rank
Rocco DiSpirito,0.08050641051879705,-18.5,10.0,11.0,7,rank
