fairness_rate,popularity_spearman,excitement_avg_var,param,value
0.580465367965368,0.8033431533864059,0.12316566277846734,beta,8.0
0.580465367965368,0.8033431533864059,0.12315627193978894,beta,10.0
0.580465367965368,0.8033431533864059,0.12313171668234597,beta,12.0
0.5700487012987012,0.8025204466813464,0.12310542412644153,beta,15.0
0.5700487012987012,0.8025204466813464,0.12308969057510386,beta,18.0
0.5700487012987012,0.8025204466813464,0.12308221774546485,beta,20.0
0.6171604437229437,0.8047241253556132,0.12324715546545863,t0,0.55
0.596090367965368,0.8037545067389358,0.12326398145852116,t0,0.6
0.580465367965368,0.8033431533864059,0.12313171668234597,t0,0.65
0.5702490218115217,0.8030199471808469,0.12324219311459281,t0,0.7
0.5275406884781886,0.800651727165568,0.1233998375279158,t0,0.75
