season,week,method,w_judge,w_fan,n_contestants,eliminated,revived,excitement_var
1,1,rank,,,6,Kelly Monaco,,0.12888888888888891
1,2,rank,,,6,Kelly Monaco,,0.25
1,3,rank,,,5,Kelly Monaco,,0.24000000000000005
1,4,rank,,,4,Joey McIntyre,,0.16666666666666669
1,5,rank,,,3,Joey McIntyre,,0.16666666666666666
1,6,rank,,,2,,,0.25
2,1,rank,,,10,Kenny Mayne,,0.16000000000000006
2,2,rank,,,9,Master P,,0.16857186404511507
2,3,rank,,,8,Master P,,0.11419753086419754
2,4,rank,,,7,Jerry Rice,,0.16743023740108284
2,5,rank,,,6,Jerry Rice,,0.25
2,6,rank,,,5,Lisa Rinna,,0.12159999999999997
2,7,rank,,,4,Jerry Rice,,0.25
2,8,rank,,,3,,,0.16666666666666666
3,1,rank,,,11,Tucker Carlson,,0.10202479338842975
3,2,rank,,,10,Shanna Moakler,,0.1194387755102041
3,3,rank,,,9,Jerry Springer,,0.1017888636936256
3,4,rank,,,8,Jerry Springer,,0.10926649305555555
3,5,rank,,,7,Joey Lawrence,,0.16225749559082894
3,6,rank,,,5,Jerry Springer,,0.125
3,7,rank,,,5,Jerry Springer,,0.16
3,8,rank,,,4,Monique Coleman,,0.13194444444444442
3,9,rank,,,3,Emmitt Smith,,0.0
3,10,rank,,,2,,,0.0
4,1,rank,,,11,Billy Ray Cyrus,,0.10458677685950413
4,2,rank,,,11,Shandi Finnessey,,0.09555147433935313
4,3,rank,,,10,John Ratzenberger,,0.13003906250000002
4,4,rank,,,9,Clyde Drexler,,0.12333081380700427
4,5,rank,,,8,Clyde Drexler,,0.10714285714285714
4,6,rank,,,7,Heather Mills,,0.1526530612244898
4,7,rank,,,6,John Ratzenberger,,0.15089163237311384
4,8,rank,,,5,Billy Ray Cyrus,,0.125
4,9,rank,,,4,Ian Ziering,,0.15798611111111113
4,10,rank,,,3,,,0.16666666666666666
5,1,rank,,,12,Josie Maran,,0.09567263544536271
5,2,rank,,,11,Mark Cuban,,0.07800224466891134
5,3,rank,,,10,Wayne Newton,,0.11987654320987655
5,4,rank,,,9,Floyd Mayweather Jr.,,0.12093278463648832
5,5,rank,,,8,Marie Osmond,,0.12662760416666666
5,6,rank,,,7,Marie Osmond,,0.1297959183673469
5,7,rank,,,6,Jane Seymour,,0.11555555555555556
5,8,rank,,,5,Jennie Garth,,0.1777777777777778
5,9,rank,,,4,Jennie Garth,,0.20750000000000002
5,10,rank,,,3,,,0.16666666666666666
6,1,rank,,,12,Monica Seles,,0.11269097222222224
6,2,rank,,,12,"Monica Seles,Steve Guttenberg",,0.10617539026629937
6,3,rank,,,10,Steve Guttenberg,,0.11943877551020407
6,4,rank,,,9,Adam Carolla,,0.10455246913580248
6,5,rank,,,8,Priscilla Presley,,0.1134406887755102
6,6,rank,,,7,Marlee Matlin,,0.10402494331065759
6,7,rank,,,6,Shannon Elizabeth,,0.13237847222222224
6,8,rank,,,5,Jason Taylor,,0.1777777777777778
6,9,rank,,,4,Marissa Jaret Winokur,,0.1388888888888889
6,10,rank,,,3,,,0.16666666666666666
7,1,rank,,,13,"Jeffrey Ross,Cloris Leachman",,0.09416091387245235
7,2,rank,,,11,Cloris Leachman,,0.12809917355371903
7,3,rank,,,9,Cloris Leachman,,0.09992283950617284
7,4,rank,,,9,Rocco DiSpirito,,0.10677083333333334
7,5,rank,,,8,Cloris Leachman,,0.14668367346938777
7,6,rank,,,7,Cloris Leachman,,0.10657596371882086
7,7,rank,,,6,Cody Linley,,0.16883680555555558
7,8,rank,,,5,Maurice Greene,,0.13387755102040816
7,9,rank,,,4,Cody Linley,,0.13194444444444445
7,10,rank,,,3,,,0.22222222222222224
8,1,rank,,,13,Steve Wozniak,,0.09845496383957922
8,2,rank,,,13,Steve Wozniak,,0.10798481128151458
8,3,rank,,,12,Steve-O,,0.1289409722222222
8,4,rank,,,11,"Steve Wozniak,Holly Madison",,0.09958677685950414
8,5,rank,,,9,Lawrence Taylor,,0.12635424540186443
8,6,rank,,,8,Steve-O,,0.11192602040816327
8,7,rank,,,7,Lawrence Taylor,,0.11451247165532881
8,8,rank,,,6,Chuck Wicks,,0.11282578875171469
8,9,rank,,,5,Ty Murray,,0.1583673469387755
8,10,rank,,,4,Ty Murray,,0.13888888888888887
8,11,rank,,,3,,,0.16666666666666666
9,1,rank,,,16,"Macy Gray,Ashley Hamiliton",,0.09540353745541022
9,2,rank,,,14,Kathy Ireland,,0.09528163265306122
9,3,rank,,,13,Tom DeLay,,0.11066555821800575
9,4,rank,,,11,Michael Irvin,,0.12294663809815325
9,5,rank,,,10,Natalie Coughlin,,0.12503906250000002
9,6,rank,,,9,"Louie Vito,Melissa Joan Hart",,0.12811791383219953
9,7,rank,,,7,"Mark Dacascos,Michael Irvin",,0.11451247165532882
9,8,rank,,,5,Aaron Carter,,0.1511111111111111
9,9,rank,,,4,Joanna Krupa,,0.1875
9,10,rank,,,3,,,0.16666666666666666
10,1,rank,,,11,Buzz Aldrin,,0.09743801652892564
10,2,rank,,,11,Chad Ochocinco,,0.10786696788584176
10,3,rank,,,10,Buzz Aldrin,,0.10373456790123456
10,4,rank,,,9,Aiden Turner,,0.11753086419753088
10,5,rank,,,8,Kate Gosselin,,0.10132334183673469
10,6,rank,,,7,Jake Pavelka,,0.11111111111111113
10,7,rank,,,6,Pamela Anderson,,0.16493055555555555
10,8,rank,,,5,Niecy Nash,,0.135
10,9,rank,,,4,Chad Ochocinco,,0.1875
10,10,rank,,,3,,,0.16666666666666666
11,1,rank,,,12,David Hasselhoff,,0.109375
11,2,rank,,,11,Michael Bolton,,0.09743801652892561
11,3,rank,,,10,Margaret Cho,,0.1062962962962963
11,4,rank,,,9,The Situation,,0.10416666666666667
11,5,rank,,,8,Florence Henderson,,0.14539930555555555
11,6,rank,,,7,Bristol Palin,,0.08857142857142859
11,7,rank,,,6,Rick Fox,,0.16362847222222224
11,8,rank,,,5,Kurt Warner,,0.1746938775510204
11,9,rank,,,4,Brandy,,0.18000000000000002
11,10,rank,,,3,,,0.16666666666666666
12,1,rank,,,11,Mike Catherwood,,0.10198347107438019
12,2,rank,,,11,Mike Catherwood,,0.11855933068054281
12,3,rank,,,10,Wendy Williams,,0.10234567901234567
12,4,rank,,,9,Sugar Ray Leonard,,0.11764060356652949
12,5,rank,,,8,Petra Nemcova,,0.13096788194444445
12,6,rank,,,7,Chris Jericho,,0.11989795918367348
12,7,rank,,,6,Romeo,,0.16493055555555555
12,8,rank,,,5,Romeo,,0.13877551020408163
12,9,rank,,,4,Ralph Macchio,,0.1388888888888889
12,10,rank,,,3,,,0.22222222222222224
13,1,rank,,,12,Metta World Peace (Ron),,0.10139749770431587
13,2,rank,,,11,Carson Kressley,,0.12416064049586781
13,3,rank,,,10,Nancy Grace,,0.09248888888888888
13,4,rank,,,9,Carson Kressley,,0.1250639199357148
13,5,rank,,,8,Carson Kressley,,0.11088966836734694
13,6,rank,,,7,Chaz Bono,,0.11989795918367348
13,7,rank,,,6,David Arquette,,0.13991769547325103
13,8,rank,,,5,Nancy Grace,,0.1275
13,9,rank,,,4,Hope Solo,,0.1388888888888889
13,10,rank,,,3,,,0.16666666666666666
14,1,rank,,,12,Gavin DeGraw,,0.13091563786008228
14,2,rank,,,12,Martina Navratilova,,0.10197141873278237
14,3,rank,,,11,Jack Wagner,,0.10001291322314047
14,4,rank,,,10,Gladys Knight,,0.10948096885813148
14,5,rank,,,9,Gavin DeGraw,,0.11458333333333333
14,6,rank,,,8,Gladys Knight,,0.10714285714285715
14,7,rank,,,7,Jaleel White,,0.12615955473098334
14,8,rank,,,6,"Melissa Gilbert,Maria Menounos",,0.11555555555555556
14,9,rank,,,4,Donald Driver,,0.125
14,10,rank,,,3,,,0.22222222222222224
15,1,rank,,,13,Pamela Anderson,,0.09790023011176857
15,2,rank,,,12,Kirstie Alley,,0.09171875
15,3,rank,,,11,"Drew Lachey,Bristol Palin",,0.1279971431486583
15,4,rank,,,9,Kirstie Alley,,0.1238957475994513
15,5,rank,,,8,Kelly Monaco,,0.1364795918367347
15,6,rank,,,8,Shawn Johnson,,0.11033950617283951
15,7,rank,,,7,Kirstie Alley,,0.11111111111111112
15,8,rank,,,7,"Kirstie Alley,Kelly Monaco",,0.08418367346938778
15,9,rank,,,5,"Emmitt Smith,Apolo Anton Ohno",,0.12244897959183672
15,10,rank,,,3,,,0.16666666666666666
16,1,rank,,,12,D. L. Hughley,,0.10759584481175388
16,2,rank,,,12,Dorothy Hamill,,0.09508436639118456
16,3,rank,,,11,Wynonna Judd,,0.10194214876033057
16,4,rank,,,10,Lisa Vanderpump,,0.11006920415224912
16,5,rank,,,9,D. L. Hughley,,0.11564625850340136
16,6,rank,,,8,Victor Ortiz,,0.10642538265306122
16,7,rank,,,7,Andy Dick,,0.11111111111111113
16,8,rank,,,6,Sean Lowe,,0.11666666666666665
16,9,rank,,,5,Ingo Rademacher,,0.16
16,10,rank,,,4,Jacoby Jones,,0.20750000000000005
17,1,rank,,,12,Bill Nye,,0.10174185032139575
17,2,rank,,,12,Keyshawn Johnson,,0.11312673217435122
17,3,rank,,,11,Bill Nye,,0.10833085323138204
17,4,rank,,,10,Valerie Harper,,0.11864197530864198
17,5,rank,,,9,Bill Engvall,,0.10672380369350067
17,6,rank,,,8,Bill Engvall,,0.10714285714285712
17,7,rank,,,8,Leah Remini,,0.14756944444444445
17,8,rank,,,7,Bill Engvall,,0.1620408163265306
17,9,rank,,,6,Amber Riley,,0.09126984126984128
17,10,rank,,,5,Bill Engvall,,0.1551020408163265
17,11,rank,,,4,Bill Engvall,,0.1388888888888889
18,1,rank,,,12,Billy Dee Williams,,0.1047262396694215
18,2,rank,,,11,Sean Avery,,0.11931818181818182
18,3,rank,,,9,Drew Carey,,0.13541666666666666
18,4,rank,,,9,Candace Cameron Bure,,0.1013695987654321
18,5,rank,,,9,Cody Simpson,,0.11160493827160495
18,6,rank,,,8,Drew Carey,,0.13020833333333334
18,7,rank,,,7,NeNe Leakes,,0.11111111111111113
18,8,rank,,,6,Danica McKellar,,0.08333333333333333
18,9,rank,,,5,Candace Cameron Bure,,0.15999999999999998
18,10,rank,,,4,Candace Cameron Bure,,0.18000000000000002
19,1,rank,,,13,Lolo Jones,,0.10474155770069686
19,2,rank,,,12,Tavis Smiley,,0.11597650891632373
19,3,rank,,,11,Randy Couture,,0.10793388429752068
19,4,rank,,,10,Michael Waltrip,,0.1402469135802469
19,5,rank,,,9,Michael Waltrip,,0.11265432098765432
19,6,rank,,,9,Antonio Sabato Jr.,,0.13251515815618378
19,7,rank,,,8,Antonio Sabato Jr.,,0.11982248520710059
19,8,rank,,,7,Michael Waltrip,,0.11111111111111112
19,9,rank,,,6,Lea Thompson,,0.13340192043895746
19,10,rank,,,5,Tommy Chong,,0.125
19,11,rank,,,4,Bethany Mota,,0.1388888888888889
20,1,rank,,,12,Redfoo,,0.09769097222222223
20,2,rank,,,12,Charlotte McKinney,,0.09100877192982454
20,3,rank,,,11,Charlotte McKinney,,0.11487832238272934
20,4,rank,,,10,Suzanne Somers,,0.11937500000000001
20,5,rank,,,9,Patti LaBelle,,0.14831961591220852
20,6,rank,,,8,Patti LaBelle,,0.14398871527777776
20,7,rank,,,7,Riker Lynch,,0.09693877551020409
20,8,rank,,,6,"Robert Herjavec,Noah Galloway",,0.11333333333333334
20,9,rank,,,4,Rumer Willis,,0.13194444444444445
20,10,rank,,,3,,,0.22222222222222224
21,1,rank,,,13,Kim Zolciak-Biermann,,0.09824950690335307
21,2,rank,,,13,"Chaka Khan,Gary Busey",,0.0945101906640368
21,3,rank,,,10,Paula Deen,,0.11114197530864196
21,4,rank,,,10,Gary Busey,,0.11370370370370368
21,5,rank,,,9,Paula Deen,,0.09934413580246912
21,6,rank,,,9,Paula Deen,,0.11371527777777778
21,7,rank,,,8,Alek Skarlatos,,0.14484375
21,8,rank,,,7,Andy Grammer,,0.11196145124716553
21,9,rank,,,6,Alek Skarlatos,,0.09888888888888887
21,10,rank,,,4,Nick Carter,,0.15798611111111113
21,11,rank,,,4,Alek Skarlatos,,0.171875
22,1,rank,,,12,Geraldo Rivera,,0.11000631313131315
22,2,rank,,,12,Geraldo Rivera,,0.10105314508723602
22,3,rank,,,11,Mischa Barton,,0.08876033057851239
22,4,rank,,,10,Doug Flutie,,0.1320703125
22,5,rank,,,9,Antonio Brown,,0.09934413580246913
22,6,rank,,,9,Doug Flutie,,0.08371913580246913
22,7,rank,,,8,"Jodie Sweetin,Kim Fields",,0.15650826446280994
22,8,rank,,,6,Antonio Brown,,0.09126984126984128
22,9,rank,,,5,"Antonio Brown,Ginger Zee",,0.125
22,10,rank,,,3,,,0.16666666666666666
23,1,rank,,,13,Rick Perry,,0.10145463510848128
23,2,rank,,,13,Rick Perry,,0.11673308376605081
23,3,rank,,,12,Rick Perry,,0.09692302847064753
23,4,rank,,,11,"Babyface,Marilu Henner",,0.09834710743801654
23,5,rank,,,9,Maureen McCormick,,0.1491358024691358
23,6,rank,,,9,Amber Rose,,0.10416666666666667
23,7,rank,,,8,Maureen McCormick,,0.1570095486111111
23,8,rank,,,7,Ryan Lochte,,0.14979591836734693
23,9,rank,,,6,Marilu Henner,,0.15534979423868314
23,10,rank,,,5,Jana Kramer,,0.1024
23,11,rank,,,4,Jana Kramer,,0.1388888888888889
24,1,rank,,,12,Chris Kattan,,0.10415231864095502
24,2,rank,,,12,Mr. T,,0.11769097222222223
24,3,rank,,,11,Charo,,0.11238649117436995
24,4,rank,,,10,Mr. T,,0.09395061728395061
24,5,rank,,,9,Bonner Bolton,,0.12219702695893171
24,6,rank,,,8,Nancy Kerrigan,,0.09375
24,7,rank,,,7,"Nancy Kerrigan,David Ross",,0.1708238851095994
24,8,rank,,,5,Bonner Bolton,,0.125
24,9,rank,,,4,Normani,,0.125
24,10,rank,,,3,,,0.16666666666666666
25,1,rank,,,13,Barbara Corcoran,,0.1002629848783695
25,2,rank,,,13,"Barbara Corcoran,Nick Lachey",,0.0984344181459566
25,3,rank,,,11,Sasha Pieterse,,0.07243801652892562
25,4,rank,,,11,Nick Lachey,,0.0942286119823264
25,5,rank,,,10,Sasha Pieterse,,0.11332031249999999
25,6,rank,,,9,Nick Lachey,,0.09992283950617284
25,7,rank,,,8,"Nikki Bella,Terrell Owens",,0.11599170918367346
25,8,rank,,,6,Terrell Owens,,0.16145833333333334
25,9,rank,,,5,Victoria Arlen,,0.14444444444444446
25,10,rank,,,4,Drew Scott,,0.1875
26,1,rank,,,10,"Jamie Anderson,Johnny Damon",,0.1345703125
26,2,rank,,,8,"Kareem Abdul-Jabbar,Arike Ogunbowale",,0.09310281065088757
26,3,rank,,,6,"Jennie Finch Daigle,Chris Mazdzer,Mirai Nagasu",,0.11555555555555556
26,4,rank,,,3,,,0.16666666666666666
27,1,rank,,,13,Nikki Glaser,,0.09921589243968192
27,2,rank,,,12,Danelle Umstead,,0.11720521541950113
27,3,rank,,,11,John Schneider,,0.12702785430058158
27,4,rank,,,10,John Schneider,,0.09775510204081632
27,5,rank,,,9,Joe Amabile,,0.11033950617283951
27,6,rank,,,9,Mary Lou Retton,,0.13543721236028927
27,7,rank,,,8,"DeMarcus Ware,Bobby Bones",,0.11881510416666667
27,8,rank,,,6,"Joe Amabile,Bobby Bones",,0.1550068587105624
27,9,rank,,,4,,,0.1875
28,1,rank,,,12,Lamar Odom,,0.09313303489439852
28,2,rank,,,12,Lamar Odom,,0.10274943310657593
28,3,rank,,,10,Lamar Odom,,0.11064814814814813
28,4,rank,,,10,Sean Spicer,,0.1610059171597633
28,5,rank,,,9,Sean Spicer,,0.11033950617283951
28,6,rank,,,9,Sean Spicer,,0.11757330246913582
28,7,rank,,,8,Sean Spicer,,0.12654320987654322
28,8,rank,,,7,Sean Spicer,,0.1807580174927114
28,9,rank,,,6,Lauren Alaina,,0.16666666666666666
28,10,rank,,,5,James Van Der Beek,,0.1856
28,11,rank,,,4,,,0.1388888888888889
29,1,rank,,,15,Carole Baskin,,0.09769841269841269
29,2,rank,,,15,Charles Oakley,,0.10771241830065358
29,3,rank,,,14,Carole Baskin,,0.10291772959183675
29,4,rank,,,13,Nelly,,0.1457922419460881
29,5,rank,,,12,Jesse Metcalfe,,0.09118178829717292
29,6,rank,,,11,Veron Davis,,0.106313267152428
29,7,rank,,,10,Skai Jackson,,0.25
29,8,rank,,,8,Kaitlyn Bristowe,,0.09
29,9,rank,,,7,AJ McLean,,0.17793367346938774
29,10,rank,,,6,"Nelly,Justina Machado",,0.1473922902494331
29,11,rank,,,4,,,0.16666666666666669
30,1,rank,,,15,Martin Kove,,0.09126984126984125
30,2,rank,,,15,Martin Kove,,0.08480725623582767
30,3,rank,,,14,Brian Austin Green,,0.10412328196584757
30,4,rank,,,13,"Brian Austin Green,Cody Rigsby",,0.14177031759449343
30,5,rank,,,11,Iman Shumpert,,0.12093101703491316
30,6,rank,,,10,"Mike ""The Miz"" Mizanin",,0.09390625
30,7,rank,,,9,"Mike ""The Miz"" Mizanin",,0.09728395061728395
30,8,rank,,,8,"Iman Shumpert,Jimmie Allen",,0.07142857142857144
30,9,rank,,,6,"Cody Rigsby,Iman Shumpert",,0.12555555555555556
30,10,rank,,,4,,,0.1875
31,1,rank,,,16,Heidi D'Amelio,,0.21484375
31,2,rank,,,15,Vinny Guadagnino,,0.06045913682277317
31,3,rank,,,14,Cheryl Ladd,,0.10587301587301585
31,4,rank,,,13,Sam Champion,,0.1148717948717949
31,5,rank,,,12,Joseph Baena,,0.09521349862258953
31,6,rank,,,10,Vinny Guadagnino,,0.11570247933884295
31,7,rank,,,9,Vinny Guadagnino,,0.09135802469135802
31,8,rank,,,8,"Heidi D'Amelio,Vinny Guadagnino",,0.17901234567901234
31,9,rank,,,6,"Daniel Durant,Trevor Donovan",,0.20138888888888892
31,10,rank,,,4,,,0.25
32,1,rank,,,14,Charity Lawson,,0.13775510204081629
32,2,rank,,,13,Tyson Beckford,,0.07524289575571627
32,3,rank,,,12,Adrian Peterson,,0.1787712191358025
32,4,rank,,,11,Mauricio Umansky,,0.1611911754661567
32,5,rank,,,10,Alyson Hannigan,,0.10800000000000001
32,6,rank,,,9,Harry Jowsey,,0.1728395061728395
32,7,rank,,,8,Barry Williams,,0.22530864197530864
32,8,rank,,,7,Harry Jowsey,,0.1807580174927114
32,9,rank,,,6,Harry Jowsey,,0.20000000000000004
32,10,rank,,,5,Alyson Hannigan,,0.125
32,11,rank,,,5,,,0.12875
33,1,rank,,,13,Eric Roberts,,0.09278435239973701
33,2,rank,,,13,"Eric Roberts,Reginald VelJohnson",,0.15294046612727932
33,3,rank,,,11,"Eric Roberts,Reginald VelJohnson",,0.1413837852605696
33,4,rank,,,9,Dwight Howard,,0.12080399959187837
33,5,rank,,,8,Dwight Howard,,0.1375
33,6,rank,,,7,Stephen Nedoroscik,,0.13378684807256236
33,7,rank,,,6,Ilona Maher,,0.19999999999999998
33,8,rank,,,5,Stephen Nedoroscik,,0.16
33,9,rank,,,5,,,0.1275
34,1,rank,,,14,Andy Richter,,0.09758538832199545
34,2,rank,,,14,"Andy Richter,Corey Feldman",,0.11510486547560202
34,3,rank,,,12,Andy Richter,,0.1066261574074074
34,4,rank,,,11,Andy Richter,,0.08763264707320652
34,5,rank,,,10,Andy Richter,,0.0982716049382716
34,6,rank,,,10,Andy Richter,,0.12074380165289256
34,7,rank,,,9,Andy Richter,,0.15211095869532082
34,8,rank,,,8,Elaine Hendrix,,0.2060185185185185
34,9,rank,,,7,Elaine Hendrix,,0.17787855883093978
34,10,rank,,,6,Elaine Hendrix,,0.203125
34,11,rank,,,5,,,0.135
1,1,percent,,,6,Kelly Monaco,,0.12534542326741313
1,2,percent,,,6,Kelly Monaco,,0.237129205581141
1,3,percent,,,5,Kelly Monaco,,0.22157807580458386
1,4,percent,,,4,John O'Hurley,,0.1803783680061673
1,5,percent,,,3,Joey McIntyre,,0.1839390766602669
1,6,percent,,,2,,,0.25
2,1,percent,,,10,Lisa Rinna,,0.0997023045694845
2,2,percent,,,9,Master P,,0.15885846992072034
2,3,percent,,,8,Master P,,0.14448892416788334
2,4,percent,,,7,George Hamilton,,0.16940693605955712
2,5,percent,,,6,Tia Carrere,,0.233661156301277
2,6,percent,,,5,Jerry Rice,,0.15589691245679776
2,7,percent,,,4,Jerry Rice,,0.23448902853595832
2,8,percent,,,3,,,0.19496022924159237
3,1,percent,,,11,Tucker Carlson,,0.08088711513947276
3,2,percent,,,10,Shanna Moakler,,0.09886591825069174
3,3,percent,,,9,Harry Hamlin,,0.14636538030618682
3,4,percent,,,8,Vivica A. Fox,,0.1465097660564357
3,5,percent,,,7,Willa Ford,,0.24489391255279333
3,6,percent,,,5,Jerry Springer,,0.1062259061566572
3,7,percent,,,5,Jerry Springer,,0.14208332080632527
3,8,percent,,,4,Monique Coleman,,0.14067601754023215
3,9,percent,,,3,Emmitt Smith,,0.0
3,10,percent,,,2,,,0.0
4,1,percent,,,11,Billy Ray Cyrus,,0.08591950398236131
4,2,percent,,,11,Paulina Porizkova,,0.1095166673674783
4,3,percent,,,10,Shandi Finnessey,,0.15665450462689426
4,4,percent,,,9,Leeza Gibbons,,0.1219747291648754
4,5,percent,,,8,Clyde Drexler,,0.10226666487384084
4,6,percent,,,7,Heather Mills,,0.19634086451382174
4,7,percent,,,6,John Ratzenberger,,0.1765212058330006
4,8,percent,,,5,Billy Ray Cyrus,,0.12528642919202265
4,9,percent,,,4,Ian Ziering,,0.17189084951243214
4,10,percent,,,3,,,0.17286024124473284
5,1,percent,,,12,Josie Maran,,0.0792369699563829
5,2,percent,,,11,Albert Reed,,0.1081286125120419
