t0,beta,k,C,fairness,popularity,excitement,is_pareto
0.55,8.0,0.35,0.25,0.26134254143646407,0.95,0.15814510007462262,False
0.55,8.0,0.35,0.3,0.250292817679558,0.95,0.17502267725381998,False
0.55,8.0,0.35,0.35,0.250292817679558,0.95,0.19191467630869152,False
0.55,8.0,0.4,0.25,0.25581767955801105,0.95,0.16787121838829444,False
0.55,8.0,0.4,0.3,0.250292817679558,0.95,0.18475559337607025,False
0.55,8.0,0.4,0.35,0.250292817679558,0.95,0.2016527183162982,False
0.55,8.0,0.45,0.25,0.25581767955801105,0.95,0.1776019368215034,False
0.55,8.0,0.45,0.3,0.250292817679558,0.95,0.19449205397484357,False
0.55,8.0,0.45,0.35,0.24476795580110497,0.95,0.21139355479599095,True
0.55,11.0,0.35,0.25,0.2763425414364641,0.95,0.15846626495899865,False
0.55,11.0,0.35,0.3,0.265292817679558,0.95,0.1753419815399883,False
0.55,11.0,0.35,0.35,0.265292817679558,0.95,0.19223302965310243,False
0.55,11.0,0.4,0.25,0.270817679558011,0.95,0.16823948714643014,False
0.55,11.0,0.4,0.3,0.265292817679558,0.95,0.18512157647505306,False
0.55,11.0,0.4,0.35,0.265292817679558,0.95,0.2020174574829447,False
0.55,11.0,0.45,0.25,0.270817679558011,0.95,0.17801725947072805,False
0.55,11.0,0.45,0.3,0.265292817679558,0.95,0.19490470988836242,False
0.55,11.0,0.45,0.35,0.265292817679558,0.95,0.21180469716097905,True
0.55,14.0,0.35,0.25,0.2913425414364641,0.95,0.15861386000333036,False
0.55,14.0,0.35,0.3,0.280292817679558,0.95,0.17548783811608443,False
0.55,14.0,0.35,0.35,0.280292817679558,0.95,0.19237792089753702,False
0.55,14.0,0.4,0.25,0.2913425414364641,0.95,0.1684088337802317,False
0.55,14.0,0.4,0.3,0.280292817679558,0.95,0.18528886751185208,False
0.55,14.0,0.4,0.35,0.280292817679558,0.95,0.20218356624979325,False
0.55,14.0,0.45,0.25,0.2913425414364641,0.95,0.1782083160347784,False
0.55,14.0,0.45,0.3,0.280292817679558,0.95,0.19509342353693535,False
0.55,14.0,0.45,0.35,0.280292817679558,0.95,0.2119920279082965,True
0.55,17.0,0.35,0.25,0.3,0.9423935435959657,0.1586844304096977,False
0.55,17.0,0.35,0.3,0.295292817679558,0.9423935435959657,0.1755569346727127,False
0.55,17.0,0.35,0.35,0.295292817679558,0.9423935435959657,0.19244616699038145,False
0.55,17.0,0.4,0.25,0.3,0.9423935435959657,0.16848984377812995,False
0.55,17.0,0.4,0.3,0.295292817679558,0.9423935435959657,0.18536817321086504,False
0.55,17.0,0.4,0.35,0.295292817679558,0.9423935435959657,0.20226186361970575,False
0.55,17.0,0.45,0.25,0.3,0.9423935435959657,0.1782997301202618,False
0.55,17.0,0.45,0.3,0.295292817679558,0.9423935435959657,0.19518292432230125,False
0.55,17.0,0.45,0.35,0.295292817679558,0.9423935435959657,0.21208037457922602,True
0.55,20.0,0.35,0.25,0.3,0.9273935435959657,0.15871760443282426,False
0.55,20.0,0.35,0.3,0.3,0.9273935435959657,0.17558886294881432,False
0.55,20.0,0.35,0.35,0.3,0.9273935435959657,0.19247735898268442,False
0.55,20.0,0.4,0.25,0.3,0.9273935435959657,0.168527941481567,False
0.55,20.0,0.4,0.3,0.3,0.9273935435959657,0.18540485442070323,False
0.55,20.0,0.4,0.35,0.3,0.9273935435959657,0.20229769074489914,False
0.55,20.0,0.45,0.25,0.3,0.9273935435959657,0.17834271948825584,False
0.55,20.0,0.45,0.3,0.3,0.9273935435959657,0.19522434327716698,False
0.55,20.0,0.45,0.35,0.3,0.9273935435959657,0.21212083135804483,True
0.6000000000000001,8.0,0.35,0.25,0.26234254143646407,0.95,0.15269509791011415,False
0.6000000000000001,8.0,0.35,0.3,0.251292817679558,0.95,0.16956511993920717,False
0.6000000000000001,8.0,0.35,0.35,0.251292817679558,0.95,0.18645175153351198,False
0.6000000000000001,8.0,0.4,0.25,0.25681767955801105,0.95,0.1616386118735528,False
0.6000000000000001,8.0,0.4,0.3,0.251292817679558,0.95,0.17851543389672872,False
0.6000000000000001,8.0,0.4,0.35,0.251292817679558,0.95,0.19540714369115553,False
0.6000000000000001,8.0,0.45,0.25,0.25681767955801105,0.95,0.17058641463831467,False
0.6000000000000001,8.0,0.45,0.3,0.251292817679558,0.95,0.18746902998265597,False
0.6000000000000001,8.0,0.45,0.35,0.251292817679558,0.95,0.20436510917291928,False
0.6000000000000001,11.0,0.35,0.25,0.2773425414364641,0.95,0.15288846975227569,False
0.6000000000000001,11.0,0.35,0.3,0.266292817679558,0.95,0.169755629927226,False
0.6000000000000001,11.0,0.35,0.35,0.266292817679558,0.95,0.18664066990958073,False
0.6000000000000001,11.0,0.4,0.25,0.2773425414364641,0.95,0.16186062744469826,False
0.6000000000000001,11.0,0.4,0.3,0.266292817679558,0.95,0.17873408928085055,False
0.6000000000000001,11.0,0.4,0.35,0.266292817679558,0.95,0.19562386322924702,False
0.6000000000000001,11.0,0.45,0.25,0.2773425414364641,0.95,0.17083699845323838,False
0.6000000000000001,11.0,0.45,0.3,0.266292817679558,0.95,0.18771580732494766,False
0.6000000000000001,11.0,0.45,0.35,0.266292817679558,0.95,0.20460963478107336,False
0.6000000000000001,14.0,0.35,0.25,0.2978674033149171,0.95,0.1530200649784818,False
0.6000000000000001,14.0,0.35,0.3,0.281292817679558,0.95,0.1698848406399621,False
0.6000000000000001,14.0,0.35,0.35,0.281292817679558,0.95,0.18676852026558904,False
0.6000000000000001,14.0,0.4,0.25,0.2978674033149171,0.95,0.16201163369456564,False
0.6000000000000001,14.0,0.4,0.3,0.281292817679558,0.95,0.17888233465211484,False
0.6000000000000001,14.0,0.4,0.35,0.281292817679558,0.95,0.1957704899176162,False
0.6000000000000001,14.0,0.45,0.25,0.2978674033149171,0.95,0.17100735565141983,False
0.6000000000000001,14.0,0.45,0.3,0.281292817679558,0.95,0.18788306486686512,False
0.6000000000000001,14.0,0.45,0.35,0.281292817679558,0.95,0.2047750360206214,False
0.6000000000000001,17.0,0.35,0.25,0.3,0.9373935435959657,0.15309643286246447,False
0.6000000000000001,17.0,0.35,0.3,0.296292817679558,0.9373935435959657,0.1699592402799012,False
0.6000000000000001,17.0,0.35,0.35,0.296292817679558,0.9373935435959657,0.18684178013184338,False
0.6000000000000001,17.0,0.4,0.25,0.3,0.9373935435959657,0.16209928055196185,False
0.6000000000000001,17.0,0.4,0.3,0.296292817679558,0.9373935435959657,0.17896772571651845,False
0.6000000000000001,17.0,0.4,0.35,0.296292817679558,0.9373935435959657,0.19585454462316426,False
0.6000000000000001,17.0,0.45,0.25,0.3,0.9373935435959657,0.17110623207552417,False
0.6000000000000001,17.0,0.45,0.3,0.296292817679558,0.9373935435959657,0.1879794267135373,False
0.6000000000000001,17.0,0.45,0.35,0.296292817679558,0.9373935435959657,0.2048698807774483,False
0.6000000000000001,20.0,0.35,0.25,0.3,0.9223935435959657,0.15313981859784145,False
0.6000000000000001,20.0,0.35,0.3,0.3,0.9223935435959657,0.17000098203577949,False
0.6000000000000001,20.0,0.35,0.35,0.3,0.9223935435959657,0.1868825629940419,False
0.6000000000000001,20.0,0.4,0.25,0.3,0.9223935435959657,0.16214910379174352,False
0.6000000000000001,20.0,0.4,0.3,0.3,0.9223935435959657,0.17901567451491424,False
0.6000000000000001,20.0,0.4,0.35,0.3,0.9223935435959657,0.19590137823336995,False
0.6000000000000001,20.0,0.45,0.25,0.3,0.9223935435959657,0.17116245280856962,False
0.6000000000000001,20.0,0.45,0.3,0.3,0.9223935435959657,0.18803356509755456,False
0.6000000000000001,20.0,0.45,0.35,0.3,0.9223935435959657,0.20492276000296214,False
0.65,8.0,0.35,0.25,0.2688674033149171,0.95,0.14720713550529213,False
0.65,8.0,0.35,0.3,0.252292817679558,0.95,0.16406865803390625,False
0.65,8.0,0.35,0.35,0.252292817679558,0.95,0.1809492821333235,False
0.65,8.0,0.4,0.25,0.2688674033149171,0.95,0.1553623415078998,False
0.65,8.0,0.4,0.3,0.252292817679558,0.95,0.1722306158650149,False
0.65,8.0,0.4,0.35,0.252292817679558,0.95,0.18911623237021533,False
0.65,8.0,0.45,0.25,0.2633425414364641,0.95,0.16352148385906212,False
0.65,8.0,0.45,0.3,0.252292817679558,0.95,0.18039556322064024,False
0.65,8.0,0.45,0.35,0.252292817679558,0.95,0.19728551174041456,False
0.65,11.0,0.35,0.25,0.28939226519337014,0.95,0.1472511670182491,False
0.65,11.0,0.35,0.3,0.267292817679558,0.95,0.16410869450897994,False
0.65,11.0,0.35,0.35,0.267292817679558,0.95,0.1809869947245728,False
0.65,11.0,0.4,0.25,0.2838674033149171,0.95,0.1554134146603343,False
0.65,11.0,0.4,0.3,0.267292817679558,0.95,0.17227711029756976,False
0.65,11.0,0.4,0.35,0.267292817679558,0.95,0.18916000150522577,False
0.65,11.0,0.45,0.25,0.2838674033149171,0.95,0.16357949438759692,False
0.65,11.0,0.45,0.3,0.267292817679558,0.95,0.18044847205418388,False
0.65,11.0,0.45,0.35,0.267292817679558,0.95,0.19733532722976468,False
0.65,14.0,0.35,0.25,0.3,0.9473935435959657,0.14736510846671988,False
0.65,14.0,0.35,0.3,0.282292817679558,0.9473935435959657,0.16421961248461386,False
0.65,14.0,0.35,0.35,0.282292817679558,0.9473935435959657,0.18109616074890242,False
0.65,14.0,0.4,0.25,0.3,0.9473935435959657,0.1555441990187897,False
0.65,14.0,0.4,0.3,0.282292817679558,0.9473935435959657,0.1724044192323258,False
0.65,14.0,0.4,0.35,0.282292817679558,0.9473935435959657,0.18928525246494352,False
0.65,14.0,0.45,0.25,0.3,0.9473935435959657,0.1637270491708914,False
0.65,14.0,0.45,0.3,0.282292817679558,0.9473935435959657,0.1805921424838017,False
0.65,14.0,0.45,0.35,0.282292817679558,0.9473935435959657,0.1974766570136267,False
0.65,17.0,0.35,0.25,0.3,0.9323935435959657,0.14745488689452738,False
0.65,17.0,0.35,0.3,0.297292817679558,0.9323935435959657,0.16430708329544244,False
0.65,17.0,0.35,0.35,0.297292817679558,0.9323935435959657,0.18118229587817405,False
0.65,17.0,0.4,0.25,0.3,0.9323935435959657,0.15564721601097192,False
0.65,17.0,0.4,0.3,0.297292817679558,0.9323935435959657,0.17250477871169992,False
0.65,17.0,0.4,0.35,0.297292817679558,0.9323935435959657,0.1893840428676525,False
0.65,17.0,0.45,0.25,0.3,0.9323935435959657,0.16384325464511118,False
0.65,17.0,0.45,0.3,0.297292817679558,0.9323935435959657,0.18070537072086806,False
0.65,17.0,0.45,0.35,0.297292817679558,0.9323935435959657,0.1975880989820045,False
0.65,20.0,0.35,0.25,0.3,0.9173935435959657,0.14751722814100085,False
0.65,20.0,0.35,0.3,0.3,0.9173935435959657,0.16436765550474372,False
0.65,20.0,0.35,0.35,0.3,0.9173935435959657,0.1812418437123519,False
0.65,20.0,0.4,0.25,0.3,0.9173935435959657,0.15571876761975462,False
0.65,20.0,0.4,0.3,0.3,0.9173935435959657,0.17257428915509085,False
0.65,20.0,0.4,0.35,0.3,0.9173935435959657,0.18945234982731163,False
0.65,20.0,0.45,0.25,0.3,0.9173935435959657,0.16392398266518393,False
0.65,20.0,0.45,0.3,0.3,0.9173935435959657,0.18078380626564483,False
0.65,20.0,0.45,0.35,0.3,0.9173935435959657,0.19766516306070597,False
0.7,8.0,0.35,0.25,0.2753922651933701,0.95,0.141711396238638,False
0.7,8.0,0.35,0.3,0.25881767955801105,0.95,0.15856353954824945,False
0.7,8.0,0.35,0.35,0.253292817679558,0.95,0.1754375630564902,False
0.7,8.0,0.4,0.25,0.2698674033149171,0.95,0.14907698114122306,False
0.7,8.0,0.4,0.3,0.253292817679558,0.95,0.16593576627471884,False
0.7,8.0,0.4,0.35,0.253292817679558,0.95,0.18281465174741776,False
0.7,8.0,0.45,0.25,0.2698674033149171,0.95,0.15644611197670538,False
0.7,8.0,0.45,0.3,0.253292817679558,0.95,0.17331066265749837,False
0.7,8.0,0.45,0.35,0.253292817679558,0.95,0.1901938050638983,False
0.7,11.0,0.35,0.25,0.29591712707182316,0.95,0.14155897953498564,False
0.7,11.0,0.35,0.3,0.268292817679558,0.95,0.1584059071199806,False
0.7,11.0,0.35,0.35,0.268292817679558,0.95,0.17527679634023532,False
0.7,11.0,0.4,0.25,0.29591712707182316,0.95,0.1489031820717703,False
0.7,11.0,0.4,0.3,0.268292817679558,0.95,0.1657560795729318,False
0.7,11.0,0.4,0.35,0.268292817679558,0.95,0.18263137271589158,False
0.7,11.0,0.45,0.25,0.2848674033149171,0.95,0.1562507977220545,False
0.7,11.0,0.45,0.3,0.268292817679558,0.95,0.17310885585859168,False
0.7,11.0,0.45,0.35,0.268292817679558,0.95,0.1899879851108253,False
0.7,14.0,0.35,0.25,0.3,0.9423935435959657,0.14163131513606353,False
0.7,14.0,0.35,0.3,0.283292817679558,0.9423935435959657,0.15847463072143003,False
0.7,14.0,0.35,0.35,0.283292817679558,0.9423935435959657,0.17534338001818808,False
0.7,14.0,0.4,0.25,0.3,0.9423935435959657,0.1489863005203717,False
0.7,14.0,0.4,0.3,0.283292817679558,0.9423935435959657,0.16583507112340592,False
0.7,14.0,0.4,0.35,0.283292817679558,0.9423935435959657,0.18270788005775343,False
0.7,14.0,0.45,0.25,0.3,0.9423935435959657,0.15634461741383016,False
0.7,14.0,0.45,0.3,0.283292817679558,0.9423935435959657,0.1731980782603871,False
0.7,14.0,0.45,0.35,0.283292817679558,0.9423935435959657,0.19007440336035208,False
0.7,17.0,0.35,0.25,0.3,0.9273935435959657,0.14172310842227648,False
0.7,17.0,0.35,0.3,0.298292817679558,0.9273935435959657,0.15856386374095296,False
0.7,17.0,0.35,0.35,0.298292817679558,0.9273935435959657,0.17543110246964103,False
0.7,17.0,0.4,0.25,0.3,0.9273935435959657,0.14909159195640243,False
0.7,17.0,0.4,0.3,0.298292817679558,0.9273935435959657,0.16593741757710942,False
0.7,17.0,0.4,0.35,0.298292817679558,0.9273935435959657,0.18280846106594079,False
0.7,17.0,0.45,0.25,0.3,0.9273935435959657,0.15646335303613138,False
0.7,17.0,0.45,0.3,0.298292817679558,0.9273935435959657,0.17331351439913287,False
0.7,17.0,0.45,0.35,0.298292817679558,0.9273935435959657,0.1901878357768137,False
0.7,20.0,0.35,0.25,0.3,0.9123935435959658,0.14179756362529336,False
0.7,20.0,0.35,0.3,0.3,0.9123935435959658,0.15863644266100593,False
0.7,20.0,0.35,0.35,0.3,0.9123935435959658,0.17550256985080087,False
0.7,20.0,0.4,0.25,0.3,0.9123935435959658,0.1491769790170372,False
0.7,20.0,0.4,0.3,0.3,0.9123935435959658,0.1660206420498492,False
0.7,20.0,0.4,0.35,0.3,0.9123935435959658,0.18289038437276728,False
0.7,20.0,0.45,0.25,0.3,0.9123935435959658,0.15655963233787032,False
0.7,20.0,0.45,0.3,0.3,0.9123935435959658,0.17340736658209335,False
0.7,20.0,0.45,0.35,0.3,0.9123935435959658,0.19028020931263173,False
0.75,8.0,0.35,0.25,0.2763922651933701,0.95,0.13624853654604782,False
0.75,8.0,0.35,0.3,0.25981767955801105,0.95,0.15309053000555334,False
0.75,8.0,0.35,0.35,0.25981767955801105,0.95,0.16995743700262556,False
0.75,8.0,0.4,0.25,0.2763922651933701,0.95,0.14282909807664132,False
0.75,8.0,0.4,0.3,0.25981767955801105,0.95,0.15967755234967998,False
0.75,8.0,0.4,0.35,0.254292817679558,0.95,0.17654914067019367,False
0.75,8.0,0.45,0.25,0.2763922651933701,0.95,0.14941278232139238,False
0.75,8.0,0.45,0.3,0.254292817679558,0.95,0.16626690169151004,False
0.75,8.0,0.45,0.35,0.254292817679558,0.95,0.18314262817329235,False
0.75,11.0,0.35,0.25,0.29691712707182316,0.95,0.13582759345337778,False
0.75,11.0,0.35,0.3,0.274817679558011,0.95,0.15266306300187013,False
0.75,11.0,0.35,0.35,0.269292817679558,0.95,0.16952593360126822,False
0.75,11.0,0.4,0.25,0.29691712707182316,0.95,0.14234792308673722,False
0.75,11.0,0.4,0.3,0.274817679558011,0.95,0.15918910468209518,False
0.75,11.0,0.4,0.35,0.269292817679558,0.95,0.1760561491436137,False
0.75,11.0,0.45,0.25,0.29691712707182316,0.95,0.1488712117293103,False
0.75,11.0,0.45,0.3,0.269292817679558,0.95,0.165717380365946,False
0.75,11.0,0.45,0.35,0.269292817679558,0.95,0.18258809584296107,False
0.75,14.0,0.35,0.25,0.3,0.9373935435959657,0.1358105793591195,False
0.75,14.0,0.35,0.3,0.289817679558011,0.9373935435959657,0.15264180533368918,False
0.75,14.0,0.35,0.35,0.284292817679558,0.9373935435959657,0.16950208316188986,False
0.75,14.0,0.4,0.25,0.3,0.9373935435959657,0.14232868111583635,False
0.75,14.0,0.4,0.3,0.284292817679558,0.9373935435959657,0.15916506395185376,False
0.75,14.0,0.4,0.35,0.284292817679558,0.9373935435959657,0.17602914519755503,False
0.75,14.0,0.45,0.25,0.3,0.9373935435959657,0.1488496477179025,False
0.75,14.0,0.45,0.3,0.284292817679558,0.9373935435959657,0.16569050718978245,False
0.75,14.0,0.45,0.35,0.284292817679558,0.9373935435959657,0.18255791416517414,False
0.75,17.0,0.35,0.25,0.3,0.9223935435959657,0.13587619725479522,False
0.75,17.0,0.35,0.3,0.3,0.9223935435959657,0.15270454605957148,False
0.75,17.0,0.35,0.35,0.299292817679558,0.9223935435959657,0.16956307377002927,False
0.75,17.0,0.4,0.25,0.3,0.9223935435959657,0.1424039448421618,False
