season,method,fairness_rate,popularity_spearman,excitement_avg_var
1,rank,0,0.8696565534786727,0.2878148148148148
2,rank,0,0.2606060606060606,0.21607514987182408
3,rank,0,0.9181818181818183,0.12058018244615468
4,rank,0,0.8363636363636365,0.16018994137568046
5,rank,0,0.7622377622377624,0.1643119547621403
6,rank,0,0.9510489510489512,0.15563650922718378
7,rank,0,0.8308123402999015,0.16466346025537676
8,rank,0,0.8791208791208791,0.14964078181623533
9,rank,0,0.9294117647058824,0.15650554694888982
10,rank,0,0.8636363636363636,0.15854127373324026
11,rank,0,0.8531468531468532,0.16360199777441842
12,rank,0,0.9202757361079746,0.16681232867539086
13,rank,0,0.8251748251748254,0.1519727920309692
14,rank,0,0.8741258741258742,0.15229263761358008
15,rank,0,0.8186813186813187,0.1399279083303318
16,rank,0,0.9090909090909092,0.14535685101687235
17,rank,0,0.7482517482517484,0.14310806024857484
18,rank,0,0.9370629370629372,0.14558760645179164
19,rank,0,0.945054945054945,0.14167725381169766
20,rank,0,0.8671328671328673,0.15546319068593423
21,rank,0,0.9560439560439561,0.14118020610005563
22,rank,0,0.9300699300699302,0.13752144150328555
23,rank,0,0.9615384615384615,0.1444597877070821
24,rank,0,0.8811188811188813,0.148685128957777
25,rank,0,0.9340659340659341,0.13937809729915002
26,rank,0,0.9483326481409007,0.16114811207088853
27,rank,0,0.6923076923076923,0.14799858528156007
28,rank,0,0.8321678321678322,0.15860182503367978
29,rank,0,0.8882934735603691,0.1538719926540011
30,rank,0,0.8142857142857142,0.12834794696516635
31,rank,0,0.8794117647058824,0.16471967490218178
32,rank,0,0.7348739320365314,0.17656455596328424
33,rank,0,0.9340659340659341,0.16335900703251158
34,rank,0,0.8989010989010989,0.15561058180262954
1,percent,0,0.942857142857143,0.28805920917321415
2,percent,0,0.5030303030303029,0.21657808144575466
3,percent,0,0.990909090909091,0.1314591754147983
4,percent,0,0.9363636363636365,0.17291140945585343
5,percent,0,0.9930069930069931,0.17681654707922387
6,percent,0,1.0,0.15302483383184196
7,percent,0,0.989010989010989,0.1628538711942542
8,percent,0,0.967032967032967,0.15564797918687912
9,percent,0,0.988235294117647,0.15851818914861499
10,percent,0,0.9727272727272729,0.1601957727593355
11,percent,0,0.9860139860139862,0.16999026104830292
12,percent,0,1.0,0.1795288245848754
13,percent,0,0.9930069930069931,0.15203348467128802
14,percent,0,0.9860139860139862,0.15764871944070938
15,percent,0,0.9835164835164836,0.13386737965363
16,percent,0,1.0,0.14345142423125737
17,percent,0,0.9930069930069931,0.14682997967595474
18,percent,0,0.9720279720279721,0.1393305821486776
19,percent,0,0.9615384615384615,0.14171577984215167
20,percent,0,0.9720279720279721,0.17618621883514965
21,percent,0,0.9945054945054945,0.16010543121807388
22,percent,0,1.0,0.1417631719691525
23,percent,0,1.0,0.14485240363651866
24,percent,0,0.9930069930069931,0.16229573144386827
25,percent,0,1.0,0.1366575489748365
26,percent,0,0.9757575757575757,0.16087958546205766
27,percent,0,0.967032967032967,0.1491610409956093
28,percent,0,0.9300699300699302,0.17944134950539917
29,percent,0,1.0,0.17099360782392461
30,percent,0,0.982142857142857,0.17510327615297577
31,percent,0,0.8794117647058824,0.17387760803016122
32,percent,0,0.9252747252747253,0.1865785349510064
33,percent,0,0.9725274725274725,0.19359326093245124
34,percent,0,0.9472527472527472,0.17646580701433817
1,sigmoid,0,0.5428571428571429,0.25880016721833793
2,sigmoid,0,0.38181818181818183,0.1889195834992235
3,sigmoid,0,0.9,0.10754542291835753
4,sigmoid,0,0.6818181818181819,0.15685870760510504
5,sigmoid,0,0.7762237762237763,0.16252467624691133
6,sigmoid,0,0.9090909090909092,0.14793580164041242
7,sigmoid,0,0.576923076923077,0.1584008985861582
8,sigmoid,0,0.8131868131868131,0.14171270242449502
9,sigmoid,0,0.888235294117647,0.1476622515515395
10,sigmoid,0,0.8636363636363636,0.1552813471154601
11,sigmoid,0,0.7902097902097903,0.15902606013613277
12,sigmoid,0,0.8181818181818182,0.17216357662501447
13,sigmoid,0,0.7062937062937064,0.13935254244213074
14,sigmoid,0,0.8321678321678322,0.15485519178577864
15,sigmoid,0,0.6538461538461539,0.1199616206450664
16,sigmoid,0,0.8531468531468532,0.13795361471860812
17,sigmoid,0,0.7062937062937064,0.13241602399911886
18,sigmoid,0,0.8461538461538463,0.12408762440672179
19,sigmoid,0,0.8131868131868131,0.12892777995458132
20,sigmoid,0,0.8601398601398602,0.1560204536304859
21,sigmoid,0,0.8736263736263737,0.1403557083791995
22,sigmoid,0,0.8391608391608393,0.13215538410483893
23,sigmoid,0,0.8736263736263737,0.13647626777567437
24,sigmoid,0,0.8251748251748254,0.1530598249034188
25,sigmoid,0,0.7582417582417583,0.126035634027246
26,sigmoid,0,0.9272727272727272,0.15407717751436617
27,sigmoid,0,0.6813186813186813,0.13133011782220308
28,sigmoid,0,0.6993006993006995,0.1334587785833129
29,sigmoid,0,0.7571428571428571,0.15166402785228444
30,sigmoid,0,0.42857142857142855,0.1305231745927526
31,sigmoid,0,0.6441176470588235,0.14545674886214072
32,sigmoid,0,0.621978021978022,0.1596318826942983
33,sigmoid,0,0.7032967032967032,0.16177203134013654
34,sigmoid,0,0.8197802197802198,0.14312857699442388
1,attention,0,0.5428571428571429,0.25738628820984616
2,attention,0,0.12727272727272726,0.16802944700678557
3,attention,0,0.5818181818181819,0.12099082792660121
4,attention,0,0.6545454545454547,0.16383161189131856
5,attention,0,0.7412587412587414,0.16612258820934944
6,attention,0,0.8811188811188813,0.14668765200108996
7,attention,0,0.5879120879120878,0.15093584511739838
8,attention,0,0.7417582417582418,0.1467840000995279
9,attention,0,0.8764705882352942,0.15333910011757407
10,attention,0,0.7727272727272727,0.15629032693154538
11,attention,0,0.7902097902097903,0.15739086411850156
12,attention,0,0.8181818181818182,0.17283687792756525
13,attention,0,0.6503496503496504,0.1451364933336035
14,attention,0,0.8181818181818183,0.15474409016743654
15,attention,0,0.6263736263736264,0.1281706198361597
16,attention,0,0.8531468531468532,0.13786751372946954
17,attention,0,0.6783216783216784,0.13333077327476953
18,attention,0,0.7412587412587414,0.1290272401105611
19,attention,0,0.7527472527472527,0.1320715245378921
20,attention,0,0.7972027972027973,0.1622271010020117
21,attention,0,0.8736263736263737,0.1400628438722945
22,attention,0,0.8391608391608393,0.13513827655968455
23,attention,0,0.8736263736263737,0.13808090783667212
24,attention,0,0.8111888111888113,0.1563875149439967
25,attention,0,0.7032967032967032,0.12830588635181642
26,attention,0,0.7333333333333332,0.15893838613802774
27,attention,0,0.5274725274725275,0.1390071959471301
28,attention,0,0.8321678321678322,0.12581121358872227
29,attention,0,0.8178571428571428,0.12375952742638668
30,attention,0,0.6678571428571428,0.10659694521118875
31,attention,0,0.6588235294117648,0.13220225940957506
32,attention,0,0.665934065934066,0.14103784866535182
33,attention,0,0.8021978021978022,0.14054577186182157
34,attention,0,0.8373626373626375,0.11810641381425122
