season,week,method,w_judge,n_contestants,excitement_var
1,1,rank,,6,0.15466666666666667
1,2,rank,,6,0.3
1,3,rank,,5,0.30000000000000004
1,4,rank,,4,0.22222222222222224
1,5,rank,,3,0.25
1,6,rank,,2,0.5
2,1,rank,,10,0.17777777777777784
2,2,rank,,9,0.18964334705075445
2,3,rank,,8,0.1305114638447972
2,4,rank,,7,0.19533527696793
2,5,rank,,6,0.3
2,6,rank,,5,0.15199999999999997
2,7,rank,,4,0.3333333333333333
2,8,rank,,3,0.25
3,1,rank,,11,0.11222727272727273
3,2,rank,,10,0.13270975056689344
3,3,rank,,9,0.1145124716553288
3,4,rank,,8,0.12487599206349206
3,5,rank,,7,0.18930041152263377
3,6,rank,,5,0.15625
3,7,rank,,5,0.2
3,8,rank,,4,0.1759259259259259
3,9,rank,,3,0.0
3,10,rank,,2,0.0
4,1,rank,,11,0.11504545454545453
4,2,rank,,11,0.10510662177328844
4,3,rank,,10,0.14448784722222224
4,4,rank,,9,0.1387471655328798
4,5,rank,,8,0.12244897959183673
4,6,rank,,7,0.17809523809523808
4,7,rank,,6,0.18106995884773663
4,8,rank,,5,0.15625
4,9,rank,,4,0.21064814814814817
4,10,rank,,3,0.25
5,1,rank,,12,0.1043701477585775
5,2,rank,,11,0.08580246913580247
5,3,rank,,10,0.13319615912208504
5,4,rank,,9,0.13604938271604936
5,5,rank,,8,0.1447172619047619
5,6,rank,,7,0.15142857142857138
5,7,rank,,6,0.13866666666666666
5,8,rank,,5,0.22222222222222227
5,9,rank,,4,0.27666666666666667
5,10,rank,,3,0.25
6,1,rank,,12,0.12293560606060608
6,2,rank,,12,0.11582769847232659
6,3,rank,,10,0.1327097505668934
6,4,rank,,9,0.11762152777777779
6,5,rank,,8,0.12964650145772594
6,6,rank,,7,0.12136243386243385
6,7,rank,,6,0.15885416666666669
6,8,rank,,5,0.22222222222222227
6,9,rank,,4,0.1851851851851852
6,10,rank,,3,0.25
7,1,rank,,13,0.10200765669515671
7,2,rank,,11,0.14090909090909093
7,3,rank,,9,0.11241319444444445
7,4,rank,,9,0.12011718750000001
7,5,rank,,8,0.1676384839650146
7,6,rank,,7,0.12433862433862435
7,7,rank,,6,0.2026041666666667
7,8,rank,,5,0.1673469387755102
7,9,rank,,4,0.17592592592592593
