season,week,t,method,w_judge,w_fan,n_contestants,excitement_reversal_rate
1,1,0.16666666666666666,rank,,,6,
1,2,0.3333333333333333,rank,,,6,0.3333333333333333
1,3,0.5,rank,,,5,0.2
1,4,0.6666666666666666,rank,,,4,0.25
1,5,0.8333333333333334,rank,,,3,0.3333333333333333
1,6,1.0,rank,,,2,0.0
2,1,0.125,rank,,,10,
2,2,0.25,rank,,,9,0.8888888888888888
2,3,0.375,rank,,,8,0.5
2,4,0.5,rank,,,7,0.5714285714285714
2,5,0.625,rank,,,6,0.5
2,6,0.75,rank,,,5,0.6
2,7,0.875,rank,,,4,0.25
2,8,1.0,rank,,,3,0.0
3,1,0.1,rank,,,11,
3,2,0.2,rank,,,10,0.7
3,3,0.3,rank,,,9,0.4444444444444444
3,4,0.4,rank,,,8,0.75
3,5,0.5,rank,,,7,0.7142857142857143
3,6,0.6,rank,,,5,0.2
3,7,0.7,rank,,,5,0.4
3,8,0.8,rank,,,4,0.25
3,9,0.9,rank,,,3,0.0
3,10,1.0,rank,,,2,0.0
4,1,0.1,rank,,,11,
4,2,0.2,rank,,,11,0.6363636363636364
4,3,0.3,rank,,,10,0.8
4,4,0.4,rank,,,9,0.4444444444444444
4,5,0.5,rank,,,8,0.375
4,6,0.6,rank,,,7,0.0
4,7,0.7,rank,,,6,0.16666666666666666
4,8,0.8,rank,,,5,0.2
4,9,0.9,rank,,,4,0.25
4,10,1.0,rank,,,3,0.3333333333333333
5,1,0.1,rank,,,12,
5,2,0.2,rank,,,11,0.7272727272727273
5,3,0.3,rank,,,10,0.5
5,4,0.4,rank,,,9,0.5555555555555556
5,5,0.5,rank,,,8,0.25
5,6,0.6,rank,,,7,0.42857142857142855
5,7,0.7,rank,,,6,0.16666666666666666
5,8,0.8,rank,,,5,0.4
5,9,0.9,rank,,,4,0.0
5,10,1.0,rank,,,3,0.0
6,1,0.1,rank,,,12,
6,2,0.2,rank,,,12,0.5833333333333334
6,3,0.3,rank,,,10,0.6
6,4,0.4,rank,,,9,0.3333333333333333
6,5,0.5,rank,,,8,0.5
6,6,0.6,rank,,,7,0.2857142857142857
6,7,0.7,rank,,,6,0.3333333333333333
6,8,0.8,rank,,,5,0.4
6,9,0.9,rank,,,4,0.0
6,10,1.0,rank,,,3,0.0
7,1,0.1,rank,,,13,
7,2,0.2,rank,,,11,0.45454545454545453
7,3,0.3,rank,,,9,0.2222222222222222
7,4,0.4,rank,,,9,0.7777777777777778
7,5,0.5,rank,,,8,0.5
7,6,0.6,rank,,,7,0.42857142857142855
7,7,0.7,rank,,,6,0.3333333333333333
7,8,0.8,rank,,,5,0.4
7,9,0.9,rank,,,4,0.25
7,10,1.0,rank,,,3,0.0
8,1,0.09090909090909091,rank,,,13,
8,2,0.18181818181818182,rank,,,13,0.46153846153846156
8,3,0.2727272727272727,rank,,,12,0.5833333333333334
8,4,0.36363636363636365,rank,,,11,0.36363636363636365
8,5,0.45454545454545453,rank,,,9,0.5555555555555556
8,6,0.5454545454545454,rank,,,8,0.5
8,7,0.6363636363636364,rank,,,7,0.2857142857142857
8,8,0.7272727272727273,rank,,,6,0.8333333333333334
8,9,0.8181818181818182,rank,,,5,0.4
8,10,0.9090909090909091,rank,,,4,0.25
8,11,1.0,rank,,,3,0.0
9,1,0.1,rank,,,16,
9,2,0.2,rank,,,14,0.7142857142857143
9,3,0.3,rank,,,13,0.6153846153846154
