season,week,method,celebrity,score_rank,n_contestants,judge_rank,fan_rank
2,1,rank,Jerry Rice,5,10,5,5
2,2,rank,Jerry Rice,3,9,4,3
2,3,rank,Jerry Rice,7,8,7,6
2,4,rank,Jerry Rice,5,7,5,5
2,5,rank,Jerry Rice,5,6,5,5
2,6,rank,Jerry Rice,4,5,4,4
2,7,rank,Jerry Rice,4,4,4,4
2,8,rank,Jerry Rice,3,3,3,3
2,1,percent,Jerry Rice,5,10,5,5
2,2,percent,Jerry Rice,4,9,4,3
2,3,percent,Jerry Rice,7,8,7,6
2,4,percent,Jerry Rice,5,7,5,5
2,5,percent,Jerry Rice,5,6,5,5
2,6,percent,Jerry Rice,4,5,4,4
2,7,percent,Jerry Rice,4,4,4,4
2,8,percent,Jerry Rice,3,3,3,3
2,1,dynamic,Jerry Rice,5,10,5,5
2,2,dynamic,Jerry Rice,4,9,4,3
2,3,dynamic,Jerry Rice,7,8,7,6
2,4,dynamic,Jerry Rice,5,7,5,5
2,5,dynamic,Jerry Rice,5,6,5,5
2,6,dynamic,Jerry Rice,4,5,4,4
2,7,dynamic,Jerry Rice,4,4,4,4
2,8,dynamic,Jerry Rice,3,3,3,3
4,1,rank,Billy Ray Cyrus,11,11,11,11
4,2,rank,Billy Ray Cyrus,7,11,6,7
4,3,rank,Billy Ray Cyrus,7,10,6,7
4,4,rank,Billy Ray Cyrus,5,9,5,5
4,5,rank,Billy Ray Cyrus,7,8,7,7
4,6,rank,Billy Ray Cyrus,5,7,6,5
4,7,rank,Billy Ray Cyrus,6,6,6,6
4,8,rank,Billy Ray Cyrus,5,5,5,5
4,1,percent,Billy Ray Cyrus,11,11,11,11
4,2,percent,Billy Ray Cyrus,7,11,6,7
4,3,percent,Billy Ray Cyrus,7,10,6,7
4,4,percent,Billy Ray Cyrus,5,9,5,5
4,5,percent,Billy Ray Cyrus,7,8,7,7
4,6,percent,Billy Ray Cyrus,5,7,6,5
4,7,percent,Billy Ray Cyrus,6,6,6,6
4,8,percent,Billy Ray Cyrus,5,5,5,5
4,1,dynamic,Billy Ray Cyrus,11,11,11,11
4,2,dynamic,Billy Ray Cyrus,7,11,6,7
4,3,dynamic,Billy Ray Cyrus,7,10,6,7
4,4,dynamic,Billy Ray Cyrus,5,9,5,5
4,5,dynamic,Billy Ray Cyrus,7,8,7,7
4,6,dynamic,Billy Ray Cyrus,5,7,6,5
4,7,dynamic,Billy Ray Cyrus,6,6,6,6
4,8,dynamic,Billy Ray Cyrus,5,5,5,5
11,1,rank,Bristol Palin,7,12,7,7
11,2,rank,Bristol Palin,3,11,3,3
11,3,rank,Bristol Palin,9,10,9,9
11,4,rank,Bristol Palin,8,9,8,8
11,5,rank,Bristol Palin,8,8,8,7
11,6,rank,Bristol Palin,6,7,6,6
11,7,rank,Bristol Palin,6,6,6,6
11,8,rank,Bristol Palin,4,5,5,4
11,9,rank,Bristol Palin,4,4,4,4
11,10,rank,Bristol Palin,3,3,3,3
11,1,percent,Bristol Palin,7,12,7,7
11,2,percent,Bristol Palin,3,11,3,3
11,3,percent,Bristol Palin,9,10,9,9
11,4,percent,Bristol Palin,8,9,8,8
11,5,percent,Bristol Palin,8,8,8,7
11,6,percent,Bristol Palin,6,7,6,6
11,7,percent,Bristol Palin,6,6,6,6
11,8,percent,Bristol Palin,4,5,5,4
11,9,percent,Bristol Palin,4,4,4,4
11,10,percent,Bristol Palin,3,3,3,3
11,1,dynamic,Bristol Palin,7,12,7,7
11,2,dynamic,Bristol Palin,3,11,3,3
11,3,dynamic,Bristol Palin,9,10,9,9
11,4,dynamic,Bristol Palin,8,9,8,8
11,5,dynamic,Bristol Palin,8,8,8,7
11,6,dynamic,Bristol Palin,6,7,6,6
11,7,dynamic,Bristol Palin,6,6,6,6
11,8,dynamic,Bristol Palin,4,5,5,4
11,9,dynamic,Bristol Palin,4,4,4,4
11,10,dynamic,Bristol Palin,3,3,3,3
27,1,rank,Bobby Bones,5,13,5,5
27,2,rank,Bobby Bones,10,12,10,10
27,3,rank,Bobby Bones,8,11,8,8
27,4,rank,Bobby Bones,9,10,9,8
27,5,rank,Bobby Bones,8,9,8,8
27,6,rank,Bobby Bones,7,9,7,7
27,7,rank,Bobby Bones,6,8,6,6
27,8,rank,Bobby Bones,5,6,6,5
27,9,rank,Bobby Bones,4,4,4,4
27,1,percent,Bobby Bones,5,13,5,5
27,2,percent,Bobby Bones,10,12,10,10
27,3,percent,Bobby Bones,8,11,8,8
27,4,percent,Bobby Bones,9,10,9,8
27,5,percent,Bobby Bones,8,9,8,8
27,6,percent,Bobby Bones,8,9,7,7
27,7,percent,Bobby Bones,6,8,6,6
27,8,percent,Bobby Bones,5,6,6,5
27,9,percent,Bobby Bones,4,4,4,4
27,1,dynamic,Bobby Bones,5,13,5,5
27,2,dynamic,Bobby Bones,10,12,10,10
27,3,dynamic,Bobby Bones,8,11,8,8
27,4,dynamic,Bobby Bones,9,10,9,8
27,5,dynamic,Bobby Bones,8,9,8,8
27,6,dynamic,Bobby Bones,8,9,7,7
27,7,dynamic,Bobby Bones,6,8,6,6
27,8,dynamic,Bobby Bones,6,6,6,5
27,9,dynamic,Bobby Bones,4,4,4,4
