fairness_rate,popularity_spearman,excitement_avg_var,param,value
1.0,0.8271972692820444,0.11846829343667938,beta,8.0
1.0,0.8302481399799739,0.11847138428504214,beta,10.0
1.0,0.8295772710565099,0.1184710510916396,beta,12.0
1.0,0.8296823130733165,0.11846890267264641,beta,15.0
1.0,0.8296823130733165,0.11846377498579849,beta,18.0
1.0,0.8296823130733165,0.1184588393124863,beta,20.0
1.0,0.8250536084446118,0.11809889843607865,t0,0.55
1.0,0.8273307430746877,0.11827020832498245,t0,0.6
1.0,0.8296823130733165,0.11846890267264641,t0,0.65
1.0,0.8304538166562389,0.11868807713383277,t0,0.7
1.0,0.8304538166562389,0.11891051709330092,t0,0.75
