season,week,method,w_judge,w_fan,n_contestants,eliminated,revived,excitement_var
1,1,rank,,,6,Kelly Monaco,,0.1288888888888889
1,2,rank,,,6,Evander Holyfield,,0.11333333333333336
1,3,rank,,,5,Evander Holyfield,,0.125
1,4,rank,,,4,Joey McIntyre,,0.125
1,5,rank,,,3,Joey McIntyre,,0.16666666666666666
1,6,rank,,,2,,,0.25
2,1,rank,,,10,Kenny Mayne,,0.11726643598615916
2,2,rank,,,9,Master P,,0.1150068587105624
2,3,rank,,,8,Master P,,0.10809948979591837
2,4,rank,,,7,Master P,,0.1159297052154195
2,5,rank,,,6,Tia Carrere,,0.11666666666666665
2,6,rank,,,5,George Hamilton,,0.15183673469387754
2,7,rank,,,4,Jerry Rice,,0.15798611111111113
2,8,rank,,,3,,,0.16666666666666666
3,1,rank,,,11,Tucker Carlson,,0.10202479338842975
3,2,rank,,,10,Jerry Springer,,0.09148148148148147
3,3,rank,,,9,Emmitt Smith,,0.09963348765432097
3,4,rank,,,8,Sara Evans,,0.1064164201183432
3,5,rank,,,7,Jerry Springer,,0.14639905548996457
3,6,rank,,,5,Jerry Springer,,0.125
3,7,rank,,,5,Jerry Springer,,0.13999999999999999
3,8,rank,,,4,Monique Coleman,,0.13020833333333331
3,9,rank,,,3,Mario Lopez,,0.16666666666666666
3,10,rank,,,2,,,0.25
4,1,rank,,,11,Billy Ray Cyrus,,0.10219008264462809
4,2,rank,,,11,Clyde Drexler,,0.09683844234335294
4,3,rank,,,10,Clyde Drexler,,0.1113888888888889
4,4,rank,,,9,Clyde Drexler,,0.09789737654320989
4,5,rank,,,8,Clyde Drexler,,0.10714285714285714
4,6,rank,,,7,John Ratzenberger,,0.11791383219954647
4,7,rank,,,6,Billy Ray Cyrus,,0.12555555555555556
4,8,rank,,,5,Billy Ray Cyrus,,0.125
4,9,rank,,,4,Ian Ziering,,0.15798611111111113
4,10,rank,,,3,,,0.16666666666666666
5,1,rank,,,12,Josie Maran,,0.09347738751147842
5,2,rank,,,11,Wayne Newton,,0.0865702479338843
5,3,rank,,,10,Wayne Newton,,0.11432098765432097
5,4,rank,,,9,Mark Cuban,,0.10503472222222224
5,5,rank,,,8,Mark Cuban,,0.11649408284023668
5,6,rank,,,7,Jane Seymour,,0.10799319727891157
5,7,rank,,,6,Jane Seymour,,0.11472222222222221
5,8,rank,,,5,Marie Osmond,,0.125
5,9,rank,,,4,Marie Osmond,,0.15798611111111113
5,10,rank,,,3,,,0.16666666666666666
6,1,rank,,,12,Adam Carolla,,0.10599332325522803
6,2,rank,,,12,"Monica Seles,Steve Guttenberg",,0.10231577134986226
6,3,rank,,,10,Marissa Jaret Winokur,,0.08407407407407408
6,4,rank,,,9,Adam Carolla,,0.10252700617283951
6,5,rank,,,8,Priscilla Presley,,0.10809948979591835
6,6,rank,,,7,Marlee Matlin,,0.10402494331065759
6,7,rank,,,6,Cristian de la Fuente,,0.10805555555555556
6,8,rank,,,5,Marissa Jaret Winokur,,0.11875
6,9,rank,,,4,Marissa Jaret Winokur,,0.1388888888888889
6,10,rank,,,3,,,0.16666666666666666
7,1,rank,,,13,"Jeffrey Ross,Cloris Leachman",,0.0952292899408284
7,2,rank,,,11,Cloris Leachman,,0.10512396694214875
7,3,rank,,,9,Cloris Leachman,,0.10136959876543208
7,4,rank,,,9,Rocco DiSpirito,,0.10252700617283951
7,5,rank,,,8,Lance Bass,,0.12282986111111113
7,6,rank,,,7,Cloris Leachman,,0.10799319727891156
7,7,rank,,,6,Warren Sapp,,0.11805555555555554
7,8,rank,,,5,Cody Linley,,0.13387755102040816
7,9,rank,,,4,Cody Linley,,0.13020833333333331
7,10,rank,,,3,,,0.17283950617283952
8,1,rank,,,13,Steve Wozniak,,0.0975304076265615
8,2,rank,,,13,Steve-O,,0.09148997370151217
8,3,rank,,,12,Steve Wozniak,,0.10651974288337925
8,4,rank,,,11,"Steve Wozniak,Holly Madison",,0.09991735537190083
8,5,rank,,,9,Steve-O,,0.1080246913580247
8,6,rank,,,8,Steve-O,,0.10897640306122448
8,7,rank,,,7,Lawrence Taylor,,0.11196145124716553
8,8,rank,,,6,Melissa Rycroft,,0.11472222222222221
8,9,rank,,,5,Ty Murray,,0.15836734693877552
8,10,rank,,,4,Ty Murray,,0.13888888888888887
8,11,rank,,,3,,,0.16666666666666666
9,1,rank,,,16,"Ashley Hamiliton,Macy Gray",,0.09713139120095124
9,2,rank,,,14,Kathy Ireland,,0.09930612244897959
9,3,rank,,,13,Michael Irvin,,0.09592784352399736
9,4,rank,,,11,Michael Irvin,,0.11084911059728486
9,5,rank,,,10,Michael Irvin,,0.10878892733564013
9,6,rank,,,9,"Melissa Joan Hart,Michael Irvin",,0.11555555555555558
9,7,rank,,,7,"Mark Dacascos,Michael Irvin",,0.11196145124716554
9,8,rank,,,5,Aaron Carter,,0.13387755102040816
9,9,rank,,,4,Donny Osmond,,0.125
9,10,rank,,,3,,,0.16666666666666666
10,1,rank,,,11,Buzz Aldrin,,0.09830578512396695
10,2,rank,,,11,Buzz Aldrin,,0.09838842975206612
10,3,rank,,,10,Buzz Aldrin,,0.10262345679012344
10,4,rank,,,9,Aiden Turner,,0.11753086419753088
10,5,rank,,,8,Kate Gosselin,,0.10132334183673469
10,6,rank,,,7,Jake Pavelka,,0.11111111111111113
10,7,rank,,,6,Niecy Nash,,0.13854595336076816
10,8,rank,,,5,Niecy Nash,,0.1275
10,9,rank,,,4,Chad Ochocinco,,0.1579861111111111
10,10,rank,,,3,,,0.16666666666666666
11,1,rank,,,12,Margaret Cho,,0.10937499999999999
11,2,rank,,,11,Michael Bolton,,0.09743801652892561
11,3,rank,,,10,Margaret Cho,,0.10632716049382715
11,4,rank,,,9,The Situation,,0.10416666666666667
11,5,rank,,,8,Bristol Palin,,0.12194896449704141
11,6,rank,,,7,Kurt Warner,,0.11111111111111113
11,7,rank,,,6,Bristol Palin,,0.12805555555555556
11,8,rank,,,5,Kurt Warner,,0.17469387755102042
11,9,rank,,,4,Bristol Palin,,0.1388888888888889
11,10,rank,,,3,,,0.16666666666666666
12,1,rank,,,11,Mike Catherwood,,0.10285123966942149
12,2,rank,,,11,Mike Catherwood,,0.11855933068054282
12,3,rank,,,10,Wendy Williams,,0.10074074074074076
12,4,rank,,,9,Kendra Wilkinson,,0.10599922839506173
12,5,rank,,,8,Petra Nemcova,,0.12630208333333334
12,6,rank,,,7,Chris Jericho,,0.11989795918367349
12,7,rank,,,6,Romeo,,0.13854595336076816
12,8,rank,,,5,Ralph Macchio,,0.125
12,9,rank,,,4,Ralph Macchio,,0.1388888888888889
12,10,rank,,,3,,,0.18055555555555558
13,1,rank,,,12,Metta World Peace (Ron),,0.09852789256198348
13,2,rank,,,11,Chaz Bono,,0.09958677685950411
13,3,rank,,,10,Chaz Bono,,0.1018827160493827
13,4,rank,,,9,Carson Kressley,,0.09384645061728397
13,5,rank,,,8,Carson Kressley,,0.11065051020408163
13,6,rank,,,7,Chaz Bono,,0.11989795918367348
13,7,rank,,,6,Nancy Grace,,0.11666666666666665
13,8,rank,,,5,Nancy Grace,,0.1275
13,9,rank,,,4,Hope Solo,,0.1388888888888889
13,10,rank,,,3,,,0.16666666666666666
14,1,rank,,,12,Melissa Gilbert,,0.11102430555555555
14,2,rank,,,12,Martina Navratilova,,0.10197141873278237
14,3,rank,,,11,Melissa Gilbert,,0.10653409090909091
14,4,rank,,,10,Gladys Knight,,0.09827160493827161
14,5,rank,,,9,Gavin DeGraw,,0.11805555555555555
14,6,rank,,,8,Gladys Knight,,0.10714285714285715
14,7,rank,,,7,Melissa Gilbert,,0.11196145124716553
14,8,rank,,,6,"Melissa Gilbert,Maria Menounos",,0.11472222222222223
14,9,rank,,,4,Katherine Jenkins,,0.18000000000000002
14,10,rank,,,3,,,0.17283950617283952
15,1,rank,,,13,Pamela Anderson,,0.0995233399079553
15,2,rank,,,12,Bristol Palin,,0.09267389807162535
15,3,rank,,,11,"Bristol Palin,Drew Lachey",,0.11034545912410429
15,4,rank,,,9,Kirstie Alley,,0.10976080246913582
15,5,rank,,,8,Kelly Monaco,,0.11575255102040816
15,6,rank,,,8,Emmitt Smith,,0.11065051020408165
15,7,rank,,,7,Kirstie Alley,,0.11111111111111112
15,8,rank,,,7,"Kirstie Alley,Shawn Johnson",,0.11592970521541952
15,9,rank,,,5,"Emmitt Smith,Kelly Monaco",,0.125
15,10,rank,,,3,,,0.16666666666666666
16,1,rank,,,12,D. L. Hughley,,0.09933138200183655
16,2,rank,,,12,Dorothy Hamill,,0.09588785583103765
16,3,rank,,,11,Wynonna Judd,,0.10107438016528926
16,4,rank,,,10,Lisa Vanderpump,,0.11006920415224912
16,5,rank,,,9,D. L. Hughley,,0.10743484224965706
16,6,rank,,,8,Victor Ortiz,,0.10642538265306122
16,7,rank,,,7,Andy Dick,,0.10912698412698414
16,8,rank,,,6,Sean Lowe,,0.11666666666666665
16,9,rank,,,5,Ingo Rademacher,,0.14
16,10,rank,,,4,Jacoby Jones,,0.1579861111111111
17,1,rank,,,12,Bill Nye,,0.10174185032139578
17,2,rank,,,12,Keyshawn Johnson,,0.11312673217435122
17,3,rank,,,11,Valerie Harper,,0.10594995535816489
17,4,rank,,,10,Valerie Harper,,0.10493827160493827
17,5,rank,,,9,Leah Remini,,0.10947145061728396
17,6,rank,,,8,Bill Engvall,,0.12278106508875741
17,7,rank,,,8,Bill Engvall,,0.11216517857142859
17,8,rank,,,7,Bill Engvall,,0.12046485260770975
17,9,rank,,,6,Bill Engvall,,0.11472222222222221
17,10,rank,,,5,Bill Engvall,,0.1551020408163265
17,11,rank,,,4,Bill Engvall,,0.1388888888888889
18,1,rank,,,12,Billy Dee Williams,,0.10105314508723601
18,2,rank,,,11,Billy Dee Williams,,0.09429752066115703
18,3,rank,,,9,Drew Carey,,0.1187307098765432
18,4,rank,,,9,Candace Cameron Bure,,0.1013695987654321
18,5,rank,,,9,Drew Carey,,0.10484182098765432
18,6,rank,,,8,Drew Carey,,0.11649408284023668
18,7,rank,,,7,NeNe Leakes,,0.10912698412698414
18,8,rank,,,6,James Maslow,,0.13888888888888892
18,9,rank,,,5,Candace Cameron Bure,,0.11499999999999999
18,10,rank,,,4,Candace Cameron Bure,,0.13888888888888887
19,1,rank,,,13,Lolo Jones,,0.10474155770069686
19,2,rank,,,12,Michael Waltrip,,0.0841798668503214
19,3,rank,,,11,Randy Couture,,0.10289256198347108
19,4,rank,,,10,Jonathan Bennett,,0.10480968858131487
19,5,rank,,,9,Michael Waltrip,,0.10802469135802469
19,6,rank,,,9,Tommy Chong,,0.10941015089163236
19,7,rank,,,8,Antonio Sabato Jr.,,0.12278106508875739
19,8,rank,,,7,Michael Waltrip,,0.11111111111111112
19,9,rank,,,6,Tommy Chong,,0.12805555555555556
19,10,rank,,,5,Tommy Chong,,0.125
19,11,rank,,,4,Bethany Mota,,0.14
20,1,rank,,,12,Redfoo,,0.09767888636936256
20,2,rank,,,12,Chris Soules,,0.09887224517906334
20,3,rank,,,11,Charlotte McKinney,,0.1102080996314187
20,4,rank,,,10,Chris Soules,,0.09987654320987653
20,5,rank,,,9,Robert Herjavec,,0.10765432098765432
20,6,rank,,,8,Robert Herjavec,,0.10554846938775511
20,7,rank,,,7,Chris Soules,,0.1032214538708045
20,8,rank,,,6,"Robert Herjavec,Noah Galloway",,0.11333333333333334
20,9,rank,,,4,Noah Galloway,,0.1579861111111111
20,10,rank,,,3,,,0.18055555555555558
21,1,rank,,,13,Kim Zolciak-Biermann,,0.09631821170282709
21,2,rank,,,13,"Chaka Khan,Gary Busey",,0.09518819855358317
21,3,rank,,,10,Paula Deen,,0.11361111111111108
21,4,rank,,,10,Gary Busey,,0.10990740740740741
21,5,rank,,,9,Paula Deen,,0.09934413580246913
21,6,rank,,,9,Paula Deen,,0.11294367283950618
21,7,rank,,,8,Alek Skarlatos,,0.1242603550295858
21,8,rank,,,7,Andy Grammer,,0.11196145124716553
21,9,rank,,,6,Tamar Braxton,,0.12805555555555556
21,10,rank,,,4,Nick Carter,,0.15798611111111113
21,11,rank,,,4,Alek Skarlatos,,0.14409722222222224
22,1,rank,,,12,Geraldo Rivera,,0.10794019742883378
22,2,rank,,,12,Geraldo Rivera,,0.09921659779614324
22,3,rank,,,11,Mischa Barton,,0.09198347107438015
22,4,rank,,,10,Doug Flutie,,0.10682098765432098
22,5,rank,,,9,Antonio Brown,,0.09934413580246913
22,6,rank,,,9,Doug Flutie,,0.09211033950617283
22,7,rank,,,8,"Jodie Sweetin,Kim Fields",,0.10044642857142856
22,8,rank,,,6,Wanya Morris,,0.11138888888888887
22,9,rank,,,5,"Antonio Brown,Ginger Zee",,0.125
22,10,rank,,,3,,,0.16666666666666666
23,1,rank,,,13,Rick Perry,,0.0976536817882972
23,2,rank,,,13,Rick Perry,,0.0904215976331361
23,3,rank,,,12,Rick Perry,,0.09805681531872008
23,4,rank,,,11,"Babyface,Marilu Henner",,0.09739669421487605
23,5,rank,,,9,Amber Rose,,0.11673606545401416
23,6,rank,,,9,Amber Rose,,0.1013695987654321
23,7,rank,,,8,Marilu Henner,,0.12268860946745562
23,8,rank,,,7,Marilu Henner,,0.11196145124716553
23,9,rank,,,6,James Hinchcliffe,,0.13854595336076816
23,10,rank,,,5,Calvin Johnson Jr.,,0.1275
23,11,rank,,,4,Jana Kramer,,0.1388888888888889
24,1,rank,,,12,Chris Kattan,,0.10204315886134069
24,2,rank,,,12,Chris Kattan,,0.10525321239606955
24,3,rank,,,11,Charo,,0.11019283746556474
24,4,rank,,,10,Mr. T,,0.0974074074074074
24,5,rank,,,9,David Ross,,0.1013695987654321
24,6,rank,,,8,Nick Viall,,0.10714285714285714
24,7,rank,,,7,"Bonner Bolton,David Ross",,0.11592970521541952
24,8,rank,,,5,Bonner Bolton,,0.125
24,9,rank,,,4,David Ross,,0.14
24,10,rank,,,3,,,0.16666666666666666
25,1,rank,,,13,Barbara Corcoran,,0.09898915187376728
25,2,rank,,,13,"Barbara Corcoran,Nick Lachey",,0.09418145956607496
25,3,rank,,,11,Sasha Pieterse,,0.07747933884297521
25,4,rank,,,11,Nick Lachey,,0.08512396694214877
25,5,rank,,,10,Nick Lachey,,0.09694444444444443
25,6,rank,,,9,Nick Lachey,,0.1013695987654321
25,7,rank,,,8,"Nikki Bella,Terrell Owens",,0.11065051020408163
25,8,rank,,,6,Drew Scott,,0.11666666666666668
25,9,rank,,,5,Drew Scott,,0.125
25,10,rank,,,4,Drew Scott,,0.1579861111111111
