param,value,judge_r2,fan_r2,judge_mae,fan_mae,judge_rmse,fan_rmse,judge_nrmse,fan_nrmse,judge_mape,fan_mape
max_depth,3.0,0.5793272167199826,0.8584179778044271,3.2453345842842745,20086.79153878945,4.116629310672888,38020.85665762615,0.15392820060619397,0.25884686936445683,0.12411550912213372,0.13081179773099766
max_depth,4.0,0.5807055203918866,0.8606998142869016,3.263355347859748,20187.453205769863,4.109879859872735,37713.22655410722,0.1536758264577483,0.25675251652187914,0.1240882611119061,0.13217690508452817
max_depth,5.0,0.57963427053303,0.85979988214346,3.2559358518101345,20355.19155123986,4.115126649319389,37834.851323380826,0.15387201338582296,0.2575805407572913,0.12319840580675279,0.13357133786173414
max_depth,6.0,0.580139277037705,0.8668559506185565,3.2807774509911227,20169.478963604866,4.112654052118657,36870.474179175624,0.15377955851335098,0.25101503890887145,0.12425456690455804,0.13269317917271942
max_depth,7.0,0.5946469852386471,0.8696452702952626,3.2056974282344926,20240.065496684936,4.0409758795389585,36482.21841257981,0.15109938225863503,0.24837178469182405,0.12094840487749417,0.1340928025747806
learning_rate,0.01,0.4977119966332416,0.7410113792652715,3.5266465419323643,29925.470733643673,4.498274533573671,51423.09165634093,0.16819860437530693,0.3500895944598748,0.13432214503031706,0.20212391585791717
learning_rate,0.03,0.5847812393435212,0.8501396527086136,3.2421549249827306,21035.492156326934,4.089856199769547,39116.60996611391,0.15292710566298476,0.2663067831704997,0.12308792952361478,0.13590913305390714
learning_rate,0.05,0.57963427053303,0.85979988214346,3.2559358518101345,20355.19155123986,4.115126649319389,37834.851323380826,0.15387201338582296,0.2575805407572913,0.12319840580675279,0.13357133786173414
learning_rate,0.07,0.5708759850022866,0.8679999438902508,3.298789993459042,20133.057806475004,4.157774815024936,36711.73419342028,0.15546670528319387,0.24993433342330768,0.1251390039875907,0.13403940149527538
learning_rate,0.1,0.555987956070892,0.8728172013993101,3.387348201459368,20085.664368589725,4.229284783060014,36035.62268508341,0.15814059206637054,0.24533135067491194,0.1295189674219062,0.133301618792142
n_estimators,100.0,0.5793371025307397,0.8446355477936172,3.230843274123646,21221.44984494287,4.116580939992595,39828.47439948986,0.15392639193914678,0.2711531726574738,0.12217249153702628,0.13634680547669173
n_estimators,150.0,0.5814745293155588,0.855428377588124,3.2395138899651643,20475.341827097498,4.106109258398471,38420.177745529494,0.15353483686253946,0.2615654565442714,0.12259353383353981,0.13270191968772146
n_estimators,200.0,0.57963427053303,0.85979988214346,3.2559358518101345,20355.19155123986,4.115126649319389,37834.851323380826,0.15387201338582296,0.2575805407572913,0.12319840580675279,0.13357133786173414
n_estimators,250.0,0.5749126719046169,0.8659201791782853,3.276319020413907,20127.650759814576,4.138172915109705,36999.81501759334,0.15473375486315202,0.25189559432104636,0.12404528239439466,0.13256830493060195
n_estimators,300.0,0.5764303253489316,0.8678370681596895,3.2782212619870625,20027.715995049726,4.130779225026988,36734.376635095854,0.15445729144505366,0.2500884836886546,0.12412593420469835,0.13205650783314443
