season,week,celebrity_name,partner,celebrity_industry,industry_category,home_state,home_country,age,age_group,judge_total,judge_mean,judge_count,p_survive_next,vote_share_hat,total_votes_hat,votes_hat,placement,elimination_week
1,1,Rachel Hunter,Jonathan Roberts,Model,Model,Unknown,New Zealand,35,26-35,20.0,6.666666666666667,3,0.9889250821935511,0.18103328263413437,800000.0,144826.6261073075,4,4.0
1,1,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Entertainment,Massachusetts,United States,32,26-35,20.0,6.666666666666667,3,0.9873279028057048,0.18088876903158274,800000.0,144711.0152252662,3,
1,1,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Entertainment,Maine,United States,50,46-55,20.0,6.666666666666667,3,0.9859075839924677,0.18076035477339686,800000.0,144608.2838187175,2,
1,1,Evander Holyfield,Edyta Sliwinska,Athlete,Sports,Alabama,United States,42,36-45,18.0,6.0,3,0.9783542948851502,0.16473838913838895,800000.0,131790.71131071117,5,3.0
1,1,Trista Sutter,Louis van Amstel,TV Personality,Media,Indiana,United States,32,26-35,18.0,6.0,3,0.9375008152393246,0.1614074567878197,800000.0,129125.96543025576,6,2.0
1,1,Kelly Monaco,Alec Mazo,Actor/Actress,Entertainment,Pennsylvania,United States,29,26-35,13.0,4.333333333333333,3,0.8776032260252119,0.13117174763467745,800000.0,104937.39810774196,1,
1,2,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Entertainment,Maine,United States,50,46-55,26.0,8.666666666666666,3,0.9809375529816153,0.19986037508220938,920000.0,183871.54507563263,2,
1,2,Rachel Hunter,Jonathan Roberts,Model,Model,Unknown,New Zealand,35,26-35,24.0,8.0,3,0.9583733725576786,0.18942050144754446,920000.0,174266.86133174092,4,4.0
1,2,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Entertainment,Massachusetts,United States,32,26-35,21.0,7.0,3,0.9762501524061478,0.17674508093949473,920000.0,162605.47446433516,3,
1,2,Kelly Monaco,Alec Mazo,Actor/Actress,Entertainment,Pennsylvania,United States,29,26-35,17.0,5.666666666666667,3,0.9106447338349426,0.15340707785098187,920000.0,141134.51162290332,1,
1,2,Trista Sutter,Louis van Amstel,TV Personality,Media,Indiana,United States,32,26-35,19.0,6.333333333333333,3,0.6865172501089742,0.14458486505257273,920000.0,133018.07584836692,6,2.0
1,2,Evander Holyfield,Edyta Sliwinska,Athlete,Sports,Alabama,United States,42,36-45,14.0,4.666666666666667,3,0.7987185094439063,0.13598209962719693,920000.0,125103.53165702117,5,3.0
1,3,Rachel Hunter,Jonathan Roberts,Model,Model,Unknown,New Zealand,35,26-35,26.0,8.666666666666666,3,0.9574726722159284,0.22954921063551387,1040000.0,238731.17906093443,4,4.0
1,3,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Entertainment,Maine,United States,50,46-55,24.0,8.0,3,0.9817855830015406,0.22246064638345142,1040000.0,231359.07223878946,2,
1,3,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Entertainment,Massachusetts,United States,32,26-35,22.0,7.333333333333333,3,0.9583031979523032,0.20944652125558647,1040000.0,217824.38210580993,3,
1,3,Kelly Monaco,Alec Mazo,Actor/Actress,Entertainment,Pennsylvania,United States,29,26-35,21.0,7.0,3,0.964923385887865,0.20493055823598608,1040000.0,213127.78056542552,1,
1,3,Evander Holyfield,Edyta Sliwinska,Athlete,Sports,Alabama,United States,42,36-45,13.0,4.333333333333333,3,0.43829942472923855,0.13361306348946206,1040000.0,138957.58602904054,5,3.0
1,4,Kelly Monaco,Alec Mazo,Actor/Actress,Entertainment,Pennsylvania,United States,29,26-35,26.0,8.666666666666666,3,0.9862677238148412,0.3074153661914575,1160000.0000000002,356601.8247820907,1,
1,4,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Entertainment,Maine,United States,50,46-55,21.0,7.0,3,0.9057278805547594,0.24195157222383926,1160000.0000000002,280663.8237796536,2,
1,4,Rachel Hunter,Jonathan Roberts,Model,Model,Unknown,New Zealand,35,26-35,25.0,8.333333333333334,3,0.5282049554707101,0.23593901450555702,1160000.0000000002,273689.2568264462,4,4.0
1,4,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Entertainment,Massachusetts,United States,32,26-35,20.0,6.666666666666667,3,0.737870803012461,0.21469404707914616,1160000.0000000002,249045.0946118096,3,
1,5,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Entertainment,Maine,United States,50,46-55,27.0,9.0,3,0.9792116690447005,0.3911810681317093,1280000.0,500711.76720858784,2,
1,5,Kelly Monaco,Alec Mazo,Actor/Actress,Entertainment,Pennsylvania,United States,29,26-35,23.5,7.833333333333333,3,0.9286812498893836,0.3213357944270835,1280000.0,411309.81686666684,1,
1,5,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Entertainment,Massachusetts,United States,32,26-35,22.5,7.5,3,0.8035622742202004,0.2874831374412073,1280000.0,367978.4159247453,3,
1,6,Kelly Monaco,Alec Mazo,Actor/Actress,Entertainment,Pennsylvania,United States,29,26-35,27.5,9.166666666666666,3,0.89214961662138,0.5461262759551382,1400000.0,764576.7863371935,1,
1,6,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Entertainment,Maine,United States,50,46-55,27.0,9.0,3,0.861610304943685,0.45387372404486176,1400000.0,635423.2136628064,2,
