season,week,celebrity_name,partner,celebrity_industry,industry_category,home_state,home_country,age,age_group,judge_total,judge_mean,judge_count,p_survive_next,vote_share_hat,total_votes_hat,votes_hat,placement,elimination_week,judge_pctile,momentum
1,1,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Entertainment,Massachusetts,United States,32,26-35,20.0,6.666666666666667,3,0.9999991637370497,0.17705999469816194,800000.0,141647.99575852955,3,,0.6,1.0
1,1,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Entertainment,Maine,United States,50,46-55,20.0,6.666666666666667,3,0.9999991637370497,0.17705999248014395,800000.0,141647.99398411516,2,,0.6,1.0
1,1,Rachel Hunter,Jonathan Roberts,Model,Model,Unknown,New Zealand,35,26-35,20.0,6.666666666666667,3,0.9999991637370497,0.17705999220132007,800000.0,141647.99376105604,4,4.0,0.6,1.0
1,1,Trista Sutter,Louis van Amstel,TV Personality,Media,Indiana,United States,32,26-35,18.0,6.0,3,0.99999916330391,0.16547754197017248,800000.0,132382.03357613797,6,2.0,0.2,1.0
1,1,Evander Holyfield,Edyta Sliwinska,Athlete,Sports,Alabama,United States,42,36-45,18.0,6.0,3,0.9999991637370497,0.16547754140212967,800000.0,132382.03312170375,5,3.0,0.2,1.0
1,1,Kelly Monaco,Alec Mazo,Actor/Actress,Entertainment,Pennsylvania,United States,29,26-35,13.0,4.333333333333333,3,0.9999991669692279,0.1378649372480718,800000.0,110291.94979845744,1,,0.0,1.0
1,2,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Entertainment,Massachusetts,United States,32,26-35,21.0,7.0,3,0.9999990193294004,0.21725099182561072,919999.9760000048,199870.9072655391,3,,0.6,1.0
1,2,Rachel Hunter,Jonathan Roberts,Model,Model,Unknown,New Zealand,35,26-35,24.0,8.0,3,0.9999991637370497,0.1900946189789249,919999.9760000048,174887.04489834097,4,4.0,0.8,4.0
1,2,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Entertainment,Maine,United States,50,46-55,26.0,8.666666666666666,3,0.9999991637370497,0.1754719565429562,919999.9760000048,161434.1958081936,2,,1.0,6.0
1,2,Evander Holyfield,Edyta Sliwinska,Athlete,Sports,Alabama,United States,42,36-45,14.0,4.666666666666667,3,0.9999991633488149,0.16293823998972634,919999.9760000048,149903.17688003124,5,3.0,0.0,-4.0
1,2,Kelly Monaco,Alec Mazo,Actor/Actress,Entertainment,Pennsylvania,United States,29,26-35,17.0,5.666666666666667,3,0.9999991637370497,0.1341844346241161,919999.9760000048,123449.67663376103,1,,0.2,4.0
1,2,Trista Sutter,Louis van Amstel,TV Personality,Media,Indiana,United States,32,26-35,19.0,6.333333333333333,3,5.081075519401064e-06,0.12005975803866581,919999.9760000048,110454.97451413893,6,2.0,0.4,1.0
1,3,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Entertainment,Maine,United States,50,46-55,24.0,8.0,3,0.9999990282700219,0.25233173906072554,1039999.9520000096,262424.9965112335,2,,0.75,2.0
1,3,Rachel Hunter,Jonathan Roberts,Model,Model,Unknown,New Zealand,35,26-35,26.0,8.666666666666666,3,0.9999991663956861,0.23292160603336715,1039999.9520000096,242238.459094467,4,4.0,1.0,3.0
1,3,Evander Holyfield,Edyta Sliwinska,Athlete,Sports,Alabama,United States,42,36-45,13.0,4.333333333333333,3,4.861731787735564e-06,0.23292159707484456,1039999.9520000096,242238.4497776039,5,3.0,0.0,-2.5
1,3,Kelly Monaco,Alec Mazo,Actor/Actress,Entertainment,Pennsylvania,United States,29,26-35,21.0,7.0,3,0.9999991637370497,0.14418956431928626,1039999.9520000096,149957.13997096,1,,0.25,4.0
1,3,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Entertainment,Massachusetts,United States,32,26-35,22.0,7.333333333333333,3,0.9999990193294004,0.13763549351177648,1039999.9520000096,143140.90664574518,3,,0.5,1.0
1,4,Rachel Hunter,Jonathan Roberts,Model,Model,Unknown,New Zealand,35,26-35,25.0,8.333333333333334,3,8.936924149481445e-06,0.37023224412996514,1159999.9280000143,429469.3765340433,4,4.0,0.6666666666666666,0.5
1,4,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Entertainment,Massachusetts,United States,32,26-35,20.0,6.666666666666667,3,0.9999985117487804,0.23139515026727678,1159999.9280000143,268418.35764959356,3,,0.0,-0.5
1,4,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Entertainment,Maine,United States,50,46-55,21.0,7.0,3,0.9999991659604541,0.2203763341125882,1159999.9280000143,255636.5317035094,2,,0.3333333333333333,-2.5
1,4,Kelly Monaco,Alec Mazo,Actor/Actress,Entertainment,Pennsylvania,United States,29,26-35,26.0,8.666666666666666,3,0.9999989504922587,0.1779962714901698,1159999.9280000143,206475.66211286795,1,,1.0,4.5
1,5,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Entertainment,Maine,United States,50,46-55,27.0,9.0,3,0.9999989554114297,0.3615414624042781,1279999.9040000192,462773.0371695025,2,,1.0,1.5
1,5,Kelly Monaco,Alec Mazo,Actor/Actress,Entertainment,Pennsylvania,United States,29,26-35,23.5,7.833333333333333,3,0.9999987766632521,0.32445590893248927,1279999.9040000192,415303.53228582523,1,,0.5,1.25
1,5,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Entertainment,Massachusetts,United States,32,26-35,22.5,7.5,3,0.9999989554114297,0.3140026286632326,1279999.9040000192,401923.3345446914,3,,0.0,0.25
1,6,Kelly Monaco,Alec Mazo,Actor/Actress,Entertainment,Pennsylvania,United States,29,26-35,27.5,9.166666666666666,3,0.9999989586113522,0.5038226113288508,1399999.880000024,705351.5954016899,1,,1.0,0.75
1,6,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Entertainment,Maine,United States,50,46-55,27.0,9.0,3,0.9999989665093173,0.4961773886711492,1399999.880000024,694648.2845983342,2,,0.0,3.0
2,1,Master P,Ashly DelGrosso,Singer/Rapper,Entertainment,Louisiana,United States,35,26-35,12.0,4.0,3,0.9999991669692279,0.1542808917128581,800000.0,123424.71337028648,7,4.0,0.0,1.0
2,1,Kenny Mayne,Andrea Hale,Sports Broadcaster,Media,Washington,United States,46,46-55,13.0,4.333333333333333,3,4.861731787735564e-06,0.14241313172477363,800000.0,113930.5053798189,10,1.0,0.1111111111111111,1.0
2,1,George Hamilton,Edyta Sliwinska,Actor/Actress,Entertainment,Tennessee,United States,66,>55,18.0,6.0,3,0.9999991637370497,0.10285393066562545,800000.0,82283.14453250036,5,6.0,0.2222222222222222,1.0
2,1,Lisa Rinna,Louis van Amstel,Actor/Actress,Entertainment,California,United States,42,36-45,19.0,6.333333333333333,3,0.9999991637370497,0.09744056617866434,800000.0,77952.45294293147,4,7.0,0.3333333333333333,1.0
