season,week,rule_used,n_contestants,k_elims,trials,local_kappa,n_feasible_uniform,accept_rate_uniform,mean_share_std_uniform,mean_l1_to_base_uniform,n_feasible_local,accept_rate_local,mean_share_std_local,mean_l1_to_base_local
6,3,percent,10,1,120,40.0,0,0.0,,,0,0.0,,
15,1,percent,13,1,120,40.0,0,0.0,,,0,0.0,,
14,9,percent,4,1,120,40.0,0,0.0,,,0,0.0,,
1,4,rank,4,1,120,40.0,0,0.0,,,0,0.0,,
10,3,percent,10,1,120,40.0,0,0.0,,,0,0.0,,
4,5,percent,8,1,120,40.0,0,0.0,,,0,0.0,,
20,3,percent,11,1,120,40.0,0,0.0,,,0,0.0,,
14,5,percent,9,1,120,40.0,0,0.0,,,0,0.0,,
23,8,percent,7,1,120,40.0,0,0.0,,,0,0.0,,
8,2,percent,13,1,120,40.0,0,0.0,,,0,0.0,,
30,9,rank,6,2,120,40.0,0,0.0,,,0,0.0,,
19,3,percent,11,1,120,40.0,0,0.0,,,0,0.0,,
21,6,percent,9,1,120,40.0,0,0.0,,,0,0.0,,
11,3,percent,10,1,120,40.0,0,0.0,,,0,0.0,,
20,5,percent,9,1,120,40.0,0,0.0,,,0,0.0,,
7,6,percent,7,1,120,40.0,0,0.0,,,0,0.0,,
34,4,rank+twist,11,1,120,40.0,0,0.0,,,0,0.0,,
34,2,rank,14,2,120,40.0,0,0.0,,,0,0.0,,
14,8,percent,6,2,120,40.0,0,0.0,,,0,0.0,,
19,6,percent,9,1,120,40.0,0,0.0,,,0,0.0,,
17,11,percent,4,1,120,40.0,0,0.0,,,0,0.0,,
19,11,percent,4,1,120,40.0,0,0.0,,,0,0.0,,
31,1,rank+twist,16,1,120,40.0,0,0.0,,,0,0.0,,
33,6,rank+twist,7,1,120,40.0,0,0.0,,,0,0.0,,
16,10,percent,4,1,120,40.0,0,0.0,,,0,0.0,,
3,7,percent,5,1,120,40.0,0,0.0,,,0,0.0,,
32,9,rank+twist,6,1,120,40.0,0,0.0,,,0,0.0,,
29,3,rank+twist,14,1,120,40.0,0,0.0,,,0,0.0,,
32,2,rank+twist,13,1,120,40.0,0,0.0,,,0,0.0,,
23,9,percent,6,1,120,40.0,0,0.0,,,0,0.0,,
12,4,percent,9,1,120,40.0,0,0.0,,,0,0.0,,
15,3,percent,11,2,120,40.0,0,0.0,,,0,0.0,,
16,6,percent,8,1,120,40.0,0,0.0,,,0,0.0,,
21,7,percent,8,1,120,40.0,0,0.0,,,0,0.0,,
17,9,percent,6,1,120,40.0,0,0.0,,,0,0.0,,
6,7,percent,6,1,120,40.0,0,0.0,,,0,0.0,,
31,7,rank+twist,9,1,120,40.0,0,0.0,,,0,0.0,,
5,1,percent,12,1,120,40.0,0,0.0,,,0,0.0,,
31,8,rank,8,2,120,40.0,0,0.0,,,0,0.0,,
8,4,percent,11,2,120,40.0,0,0.0,,,0,0.0,,
33,3,rank,11,2,120,40.0,0,0.0,,,0,0.0,,
14,4,percent,10,1,120,40.0,0,0.0,,,0,0.0,,
20,8,percent,6,2,120,40.0,0,0.0,,,0,0.0,,
10,8,percent,5,1,120,40.0,0,0.0,,,0,0.0,,
4,4,percent,9,1,120,40.0,0,0.0,,,0,0.0,,
13,6,percent,7,1,120,40.0,0,0.0,,,0,0.0,,
10,7,percent,6,1,120,40.0,0,0.0,,,0,0.0,,
17,10,percent,5,1,120,40.0,0,0.0,,,0,0.0,,
8,3,percent,12,1,120,40.0,0,0.0,,,0,0.0,,
5,9,percent,4,1,120,40.0,0,0.0,,,0,0.0,,
1,3,rank,5,1,120,40.0,0,0.0,,,0,0.0,,
9,4,percent,11,1,120,40.0,0,0.0,,,0,0.0,,
17,4,percent,10,1,120,40.0,0,0.0,,,0,0.0,,
25,5,percent,10,1,120,40.0,0,0.0,,,0,0.0,,
25,4,percent,11,1,120,40.0,0,0.0,,,0,0.0,,
27,4,percent,10,1,120,40.0,0,0.0,,,0,0.0,,
26,2,percent,8,2,120,40.0,0,0.0,,,0,0.0,,
2,2,rank,9,1,120,40.0,0,0.0,,,0,0.0,,
6,2,percent,12,2,120,40.0,0,0.0,,,0,0.0,,
21,2,percent,13,2,120,40.0,0,0.0,,,0,0.0,,
13,5,percent,8,1,120,40.0,0,0.0,,,0,0.0,,
31,5,rank+twist,12,1,120,40.0,0,0.0,,,0,0.0,,
30,8,rank,8,2,120,40.0,0,0.0,,,0,0.0,,
10,2,percent,11,1,120,40.0,0,0.0,,,0,0.0,,
18,8,percent,6,1,120,40.0,0,0.0,,,0,0.0,,
16,4,percent,10,1,120,40.0,0,0.0,,,0,0.0,,
5,8,percent,5,1,120,40.0,0,0.0,,,0,0.0,,
31,4,rank+twist,13,1,120,40.0,0,0.0,,,0,0.0,,
13,8,percent,5,1,120,40.0,0,0.0,,,0,0.0,,
9,3,percent,13,1,120,40.0,0,0.0,,,0,0.0,,
22,9,percent,5,2,120,40.0,0,0.0,,,0,0.0,,
28,10,rank+twist,5,1,120,40.0,0,0.0,,,0,0.0,,
12,3,percent,10,1,120,40.0,0,0.0,,,0,0.0,,
10,5,percent,8,1,120,40.0,0,0.0,,,0,0.0,,
9,2,percent,14,1,120,40.0,0,0.0,,,0,0.0,,
12,5,percent,8,1,120,40.0,0,0.0,,,0,0.0,,
9,1,percent,16,2,120,40.0,0,0.0,,,0,0.0,,
11,9,percent,4,1,120,40.0,0,0.0,,,0,0.0,,
15,6,percent,8,1,120,40.0,0,0.0,,,0,0.0,,
19,2,percent,12,1,120,40.0,0,0.0,,,0,0.0,,
