season,week,n_contestants,original_rule,true_eliminated,rank_eliminated,pct_eliminated,rank_twist_eliminated,pct_twist_eliminated,rank_matches_true,pct_matches_true,methods_agree,twist_changes_rank,twist_changes_pct
1,2,6,rank,['Trista Sutter'],['Evander Holyfield'],['Evander Holyfield'],Evander Holyfield,Evander Holyfield,False,False,True,False,False
1,3,5,rank,['Evander Holyfield'],['Evander Holyfield'],['Evander Holyfield'],Evander Holyfield,Evander Holyfield,True,True,True,False,False
1,4,4,rank,['Rachel Hunter'],['Joey McIntyre'],['Joey McIntyre'],Joey McIntyre,Joey McIntyre,False,False,True,False,False
2,1,10,rank,['Kenny Mayne'],['Master P'],['Kenny Mayne'],Master P,Master P,False,True,False,False,True
2,2,9,rank,"[""Tatum O'Neal""]",['Master P'],"[""Tatum O'Neal""]",Master P,Master P,False,True,False,False,True
2,3,8,rank,['Giselle Fernandez'],['Master P'],['Master P'],Master P,Master P,False,False,True,False,False
2,4,7,rank,['Master P'],['Master P'],['Master P'],Master P,Master P,True,True,True,False,False
2,5,6,rank,['Tia Carrere'],['Tia Carrere'],['Tia Carrere'],Tia Carrere,Tia Carrere,True,True,True,False,False
2,6,5,rank,['George Hamilton'],['George Hamilton'],['George Hamilton'],Jerry Rice,Jerry Rice,True,True,True,True,True
2,7,4,rank,['Lisa Rinna'],['Jerry Rice'],['Jerry Rice'],Jerry Rice,Jerry Rice,False,False,True,False,False
3,1,11,percent,['Tucker Carlson'],['Tucker Carlson'],['Tucker Carlson'],Tucker Carlson,Tucker Carlson,True,True,True,False,False
3,2,10,percent,['Shanna Moakler'],['Jerry Springer'],['Jerry Springer'],Jerry Springer,Jerry Springer,False,False,True,False,False
3,3,9,percent,['Harry Hamlin'],['Emmitt Smith'],['Emmitt Smith'],Emmitt Smith,Emmitt Smith,False,False,True,False,False
3,4,8,percent,['Vivica A. Fox'],['Sara Evans'],['Sara Evans'],Sara Evans,Sara Evans,False,False,True,False,False
3,5,7,percent,['Willa Ford'],['Jerry Springer'],['Jerry Springer'],Sara Evans,Sara Evans,False,False,True,True,True
3,7,5,percent,['Jerry Springer'],['Jerry Springer'],['Jerry Springer'],Jerry Springer,Jerry Springer,True,True,True,False,False
3,8,4,percent,['Monique Coleman'],['Monique Coleman'],['Monique Coleman'],Monique Coleman,Monique Coleman,True,True,True,False,False
4,2,11,percent,['Paulina Porizkova'],['Clyde Drexler'],['Clyde Drexler'],Clyde Drexler,Clyde Drexler,False,False,True,False,False
