season,week,n_contestants,original_rule,true_k,true_eliminated,rank_eliminated,pct_eliminated,rank_bottom2,pct_bottom2,method_conflict,kendall_tau,rank_bias,pct_bias,rank_ndcg,pct_ndcg,rank_phi_J,rank_phi_F,pct_phi_J,pct_phi_F,rank_ratio,pct_ratio
1,1,6,rank,0,[],[],[],[],[],False,0.9999999999999999,0.5049145673137723,0.5049145673137723,1.0,1.0,0.4950854326862277,0.5049145673137723,0.4950854326862277,0.5049145673137723,1.0198533905061193,1.0198533905061193
1,2,6,rank,1,['Trista Sutter'],['Evander Holyfield'],['Evander Holyfield'],"['Evander Holyfield', 'Kelly Monaco']","['Evander Holyfield', 'Kelly Monaco']",False,0.9660917830792959,0.49888311544921166,0.49888311544921166,1.0,1.0,0.5011168845507883,0.49888311544921166,0.5011168845507883,0.49888311544921166,0.9955423991370734,0.9955423991370734
1,3,5,rank,1,['Evander Holyfield'],['Evander Holyfield'],['Evander Holyfield'],"['Evander Holyfield', 'Kelly Monaco']","['Evander Holyfield', 'Kelly Monaco']",False,0.9999999999999999,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.9999999800000003,0.9999999800000003
1,4,4,rank,1,['Rachel Hunter'],['Joey McIntyre'],['Joey McIntyre'],"['Joey McIntyre', ""John O'Hurley""]","['Joey McIntyre', ""John O'Hurley""]",False,0.912870929175277,0.4435521288310971,0.4435521288310971,1.0,1.0,0.5564478711689029,0.4435521288310971,0.5564478711689029,0.4435521288310971,0.797113519238044,0.797113519238044
1,5,3,rank,0,[],[],[],[],[],False,1.0,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.9999999800000003,0.9999999800000003
1,6,2,rank,0,[],[],[],[],[],False,1.0,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.9999999800000003,0.9999999800000003
2,1,10,rank,1,['Kenny Mayne'],['Master P'],['Kenny Mayne'],"['Master P', 'Kenny Mayne']","['Kenny Mayne', 'Master P']",True,0.9888264649460883,0.5034884693569893,0.50347448821715,0.9959921849933367,1.0,0.4945216042795183,0.5014705807138184,0.4965255117828499,0.50347448821715,1.0140518962845018,1.0139951847980517
2,2,9,rank,1,"[""Tatum O'Neal""]",['Master P'],"[""Tatum O'Neal""]","['Master P', ""Tatum O'Neal""]","[""Tatum O'Neal"", 'Master P']",True,0.9718253158075499,0.4988926406712925,0.498895225903619,0.9976654079127767,1.0,0.49993747805276934,0.49772792986000736,0.501104774096381,0.498895225903619,0.9955803310502517,0.9955906264260749
2,3,8,rank,1,['Giselle Fernandez'],['Master P'],['Master P'],"['Master P', 'Jerry Rice']","['Master P', 'Jerry Rice']",False,0.9999999999999998,0.5024696510516405,0.5024696510516405,1.0,1.0,0.49753034894835946,0.5024696510516405,0.49753034894835946,0.5024696510516405,1.0099276195199853,1.0099276195199853
2,4,7,rank,1,['Master P'],['Master P'],['Master P'],"['Master P', 'George Hamilton']","['Master P', 'George Hamilton']",False,1.0,0.5004502683164145,0.5004502683164145,1.0,1.0,0.4995497316835856,0.5004502683164145,0.4995497316835856,0.5004502683164145,1.0018026766059251,1.0018026766059251
2,5,6,rank,1,['Tia Carrere'],['Tia Carrere'],['Tia Carrere'],"['Tia Carrere', 'Jerry Rice']","['Tia Carrere', 'Jerry Rice']",False,0.9999999999999999,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.9999999800000003,0.9999999800000003
2,6,5,rank,1,['George Hamilton'],['George Hamilton'],['George Hamilton'],"['George Hamilton', 'Jerry Rice']","['George Hamilton', 'Jerry Rice']",False,0.9999999999999999,0.5083383553056333,0.5083383553056333,1.0,1.0,0.49166164469436674,0.5083383553056333,0.49166164469436674,0.5083383553056333,1.0339190588731866,1.0339190588731866
2,7,4,rank,1,['Lisa Rinna'],['Jerry Rice'],['Jerry Rice'],"['Jerry Rice', 'Lisa Rinna']","['Jerry Rice', 'Lisa Rinna']",False,1.0,0.504122215674814,0.504122215674814,1.0,1.0,0.4958777843251861,0.504122215674814,0.4958777843251861,0.504122215674814,1.0166259135697884,1.0166259135697884
2,8,3,rank,0,[],[],[],[],[],False,1.0,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.9999999800000003,0.9999999800000003
3,1,11,percent,1,['Tucker Carlson'],['Tucker Carlson'],['Tucker Carlson'],"['Tucker Carlson', 'Sara Evans']","['Tucker Carlson', 'Sara Evans']",False,1.0,0.5000933445755933,0.5000933445755933,1.0,1.0,0.49990665542440665,0.5000933445755933,0.49990665542440665,0.5000933445755933,1.0003734280098628,1.0003734280098628
3,2,10,percent,1,['Shanna Moakler'],['Jerry Springer'],['Jerry Springer'],"['Jerry Springer', 'Harry Hamlin']","['Jerry Springer', 'Shanna Moakler']",False,0.9888264649460883,0.5047124612249203,0.5047059931135127,0.9986274451716717,1.0,0.4946077294723231,0.5040197156993486,0.4952940068864873,0.5047059931135127,1.0190291729706185,1.019002806224454
3,3,9,percent,1,['Harry Hamlin'],['Emmitt Smith'],['Emmitt Smith'],"['Emmitt Smith', 'Jerry Springer']","['Emmitt Smith', 'Jerry Springer']",False,1.0,0.5080632464053402,0.5080632464053402,1.0,1.0,0.4919367535946598,0.5080632464053402,0.4919367535946598,0.5080632464053402,1.0327816174844133,1.0327816174844133
3,4,8,percent,1,['Vivica A. Fox'],['Sara Evans'],['Sara Evans'],"['Sara Evans', 'Jerry Springer']","['Sara Evans', 'Vivica A. Fox']",False,0.9285714285714285,0.5144095732349405,0.5144041588688484,0.9996242521548787,1.0,0.485407967208591,0.5142162849462877,0.4855958411311516,0.5144041588688484,1.0593486491576902,1.0593256875457038
3,5,7,percent,1,['Willa Ford'],['Jerry Springer'],['Jerry Springer'],"['Jerry Springer', 'Sara Evans']","['Jerry Springer', 'Sara Evans']",False,1.0,0.5113255440730435,0.5113255440730435,1.0,1.0,0.4886744559269565,0.5113255440730435,0.4886744559269565,0.5113255440730435,1.0463520804245843,1.0463520804245843
3,6,5,percent,0,[],[],[],[],[],False,0.9999999999999999,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.9999999800000003,0.9999999800000003
3,7,5,percent,1,['Jerry Springer'],['Jerry Springer'],['Jerry Springer'],"['Jerry Springer', 'Monique Coleman']","['Jerry Springer', 'Monique Coleman']",False,0.9999999999999999,0.5009913205834182,0.5009913205834182,1.0,1.0,0.4990086794165817,0.5009913205834182,0.4990086794165817,0.5009913205834182,1.003973139564272,1.003973139564272
3,8,4,percent,1,['Monique Coleman'],['Monique Coleman'],['Monique Coleman'],"['Monique Coleman', 'Emmitt Smith']","['Monique Coleman', 'Emmitt Smith']",False,1.0,0.5008939035097473,0.5008939035097473,1.0,1.0,0.4991060964902528,0.5008939035097473,0.4991060964902528,0.5008939035097473,1.0035819978883176,1.0035819978883176
3,9,3,percent,0,[],[],[],[],[],False,1.0,0.7224767115202164,0.7224767115202164,1.0,1.0,-0.6237131216643437,1.6237131216643437,-0.6237131216643437,1.6237131216643437,2.6033011640007575,2.6033011640007575
3,10,2,percent,0,[],[],[],[],[],False,1.0,0.75,0.75,1.0,1.0,-0.5,1.5,-0.5,1.5,2.999999940000001,2.999999940000001
4,1,11,percent,0,[],[],[],[],[],False,1.0,0.5001248723354811,0.5001248723354811,1.0,1.0,0.4998751276645189,0.5001248723354811,0.4998751276645189,0.5001248723354811,1.0004995941028973,1.0004995941028973
4,2,11,percent,1,['Paulina Porizkova'],['Clyde Drexler'],['Clyde Drexler'],"['Clyde Drexler', 'Shandi Finnessey']","['Clyde Drexler', 'Paulina Porizkova']",False,0.9636363636363636,0.5127511848758304,0.5127207520187586,0.9976133310458449,1.0,0.4860859135041639,0.5115274175416811,0.48727924798124145,0.5127207520187586,1.0523394996796265,1.0522113215795788
4,3,10,percent,1,['Shandi Finnessey'],['Clyde Drexler'],['Clyde Drexler'],"['Clyde Drexler', 'John Ratzenberger']","['Clyde Drexler', 'Shandi Finnessey']",False,0.9555555555555554,0.523391261767076,0.523330910559334,0.9974199250838667,1.0,0.47537905198259933,0.5220408731012673,0.476669089440666,0.523330910559334,1.0981570600187183,1.0978914118272445
4,4,9,percent,1,['Leeza Gibbons'],['Clyde Drexler'],['Clyde Drexler'],"['Clyde Drexler', 'John Ratzenberger']","['Clyde Drexler', 'John Ratzenberger']",False,1.0,0.5001469626620523,0.5001469626620523,1.0,1.0,0.49985303733794767,0.5001469626620523,0.49985303733794767,0.5001469626620523,1.0005880034655583,1.0005880034655583
4,5,8,percent,1,['Clyde Drexler'],['Clyde Drexler'],['Clyde Drexler'],"['Clyde Drexler', 'Billy Ray Cyrus']","['Clyde Drexler', 'Billy Ray Cyrus']",False,0.9999999999999998,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.9999999800000003,0.9999999800000003
4,6,7,percent,1,['Heather Mills'],['John Ratzenberger'],['John Ratzenberger'],"['John Ratzenberger', 'Billy Ray Cyrus']","['John Ratzenberger', 'Heather Mills']",False,0.9759000729485333,0.5010754651106293,0.5010759439533741,1.0,0.9995549556803254,0.49892453488937066,0.5010754651106293,0.49870201272953335,0.500852942950792,1.0043111132600935,1.0043130368902176
4,7,6,percent,1,['John Ratzenberger'],['Billy Ray Cyrus'],['Billy Ray Cyrus'],"['Billy Ray Cyrus', 'John Ratzenberger']","['Billy Ray Cyrus', 'John Ratzenberger']",False,0.9999999999999999,0.5022233677100064,0.5022233677100064,1.0,1.0,0.4977766322899936,0.5022233677100064,0.4977766322899936,0.5022233677100064,1.0089331741231486,1.0089331741231486
4,8,5,percent,1,['Billy Ray Cyrus'],['Billy Ray Cyrus'],['Billy Ray Cyrus'],"['Billy Ray Cyrus', 'Ian Ziering']","['Billy Ray Cyrus', 'Ian Ziering']",False,0.9999999999999999,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.9999999800000003,0.9999999800000003
4,9,4,percent,1,['Ian Ziering'],['Ian Ziering'],['Ian Ziering'],"['Ian Ziering', 'Apolo Anton Ohno']","['Ian Ziering', 'Apolo Anton Ohno']",False,1.0,0.5000932540198681,0.5000932540198681,1.0,1.0,0.49990674598013185,0.5000932540198681,0.49990674598013185,0.5000932540198681,1.0003730656517547,1.0003730656517547
4,10,3,percent,0,[],[],[],[],[],False,1.0,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.9999999800000003,0.9999999800000003
5,1,12,percent,1,['Josie Maran'],['Josie Maran'],['Josie Maran'],"['Josie Maran', 'Floyd Mayweather Jr.']","['Josie Maran', 'Floyd Mayweather Jr.']",False,0.9999999999999998,0.5005611142372262,0.5005611142372262,1.0,1.0,0.4994388857627738,0.5005611142372262,0.4994388857627738,0.5005611142372262,1.0022469585047806,1.0022469585047806
5,2,11,percent,1,['Albert Reed'],['Wayne Newton'],['Wayne Newton'],"['Wayne Newton', 'Mark Cuban']","['Wayne Newton', 'Mark Cuban']",False,1.0,0.5097620578022533,0.5097620578022533,1.0,1.0,0.49023794219774675,0.5097620578022533,0.49023794219774675,0.5097620578022533,1.0398257734167247,1.0398257734167247
5,3,10,percent,1,['Wayne Newton'],['Wayne Newton'],['Wayne Newton'],"['Wayne Newton', 'Mark Cuban']","['Wayne Newton', 'Mark Cuban']",False,0.9999999999999999,0.5019262549905821,0.5019262549905821,1.0,1.0,0.4980737450094179,0.5019262549905821,0.4980737450094179,0.5019262549905821,1.0077347981948803,1.0077347981948803
5,4,9,percent,1,['Floyd Mayweather Jr.'],['Mark Cuban'],['Mark Cuban'],"['Mark Cuban', 'Floyd Mayweather Jr.']","['Mark Cuban', 'Floyd Mayweather Jr.']",False,1.0,0.5012612989969614,0.5012612989969614,1.0,1.0,0.49873870100303863,0.5012612989969614,0.49873870100303863,0.5012612989969614,1.0050579350234303,1.0050579350234303
